protocol,n,run,audit_mode,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,block_start,block_end,valid,contract_address
IRPP-TD,10,10,normal,7216.613734,14,501.213936,569.381936,4046,359227,1229,1243,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,11,normal,12664.931270,25,502.339449,540.821892,74739,11399128,1243,1268,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,11,normal,7224.325806,14,502.312451,578.905611,4046,359227,1268,1282,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,11,normal,11557.097593,23,501.972409,511.325382,78449,12032928,1282,1305,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,12,normal,7034.114664,14,501.159980,507.916903,4046,359227,1305,1319,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,12,normal,11632.604311,23,501.765647,540.059139,78449,12032928,1319,1342,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,12,normal,12560.247233,25,500.424480,528.616403,74739,11399128,1342,1367,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,13,normal,11743.152835,23,501.305446,558.882504,78449,12032928,1367,1390,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,13,normal,12647.857999,25,501.235569,532.885730,74739,11399128,1390,1415,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,13,normal,7086.107418,14,501.524050,542.342661,4046,359227,1415,1429,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,14,normal,12698.985828,25,502.033972,544.276359,74739,11399128,1429,1454,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,14,normal,7053.752027,14,501.975990,508.986764,4046,359227,1454,1468,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,14,normal,11732.405034,23,502.090771,550.618998,78449,12032928,1468,1491,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,15,normal,7026.476256,14,501.174751,502.967058,4046,359227,1491,1505,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,15,normal,11717.202797,23,502.051110,538.647249,78449,12032928,1505,1528,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,15,normal,12586.044078,25,501.345012,534.509383,74739,11399128,1528,1553,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,16,normal,11789.352260,23,502.508943,554.459944,78449,12032928,1553,1576,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,16,normal,12632.426532,25,501.599201,544.605839,74739,11399128,1576,1601,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,16,normal,7034.680731,14,502.180544,508.869514,4046,359227,1601,1615,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,17,normal,12737.648105,25,502.215538,547.808933,74739,11399128,1615,1640,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,17,normal,7040.430592,14,501.065747,504.450303,4046,359227,1640,1654,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,17,normal,11751.904194,23,502.012678,557.345589,78449,12032928,1654,1677,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,18,normal,7035.371903,14,501.072627,508.851033,4046,359227,1677,1691,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,18,normal,11655.601702,23,501.977073,542.837350,78449,12032928,1691,1714,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,18,normal,12648.461597,25,500.761012,537.799469,74739,11399128,1714,1739,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,19,normal,11607.271754,23,501.901373,514.401090,78449,12032928,1739,1762,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,19,normal,12590.244906,25,501.818057,534.251390,74739,11399128,1762,1787,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,19,normal,7128.059976,14,501.893197,552.426226,4046,359227,1787,1801,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,20,normal,12680.521172,25,502.384971,545.711475,74739,11399128,1801,1826,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,20,normal,7013.381137,14,501.566468,507.928154,4046,359227,1826,1840,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,20,normal,11634.903004,23,501.163064,545.927639,78449,12032928,1840,1863,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,21,normal,7041.908771,14,501.752420,518.230656,4046,359227,1863,1877,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,21,normal,11651.369254,23,502.723676,538.099701,78449,12032928,1877,1900,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,21,normal,12655.416393,25,502.310324,539.529268,74739,11399128,1900,1925,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,22,normal,11743.660948,23,503.215608,547.017001,78449,12032928,1925,1948,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,22,normal,12729.001973,25,501.647407,544.213110,74739,11399128,1948,1973,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,22,normal,7149.594707,14,503.833936,546.894250,4046,359227,1973,1987,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,23,normal,12751.152000,25,501.768631,549.038302,74739,11399128,1987,2012,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,23,normal,7040.049902,14,501.538707,514.355430,4046,359227,2012,2026,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,23,normal,11689.082285,23,501.816120,543.567619,78449,12032928,2026,2049,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,24,normal,7034.442087,14,501.757316,534.257609,4046,359227,2049,2063,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,24,normal,11649.249687,23,501.988407,535.472629,78449,12032928,2063,2086,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,24,normal,12555.551729,25,501.131710,541.238915,74739,11399128,2086,2111,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,25,normal,11586.146349,23,501.648530,528.187561,78449,12032928,2111,2134,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,25,normal,12576.943538,25,501.629720,587.092971,74739,11399128,2134,2159,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
