protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
BSIF,0,0,setup,register_worker,17,499.983601,88,7485,415,0,0xcd8307658ab3213e61f3bd28e3ca0e401a100dc187a0ac6206d559097693d542
RPPS-TDC,0,0,setup,register_worker,17,501.252756,88,7485,416,0,0x772b7b478f90dafded6f2e15409770440f4cf37329dfd19c108185381338c9dc
BSIF,0,0,setup,register_worker,18,501.049303,88,7485,417,0,0x1685fbd9562b2e7be97806c061734514bc91a080382d7ca88fedb53eaecd6dd4
RPPS-TDC,0,0,setup,register_worker,18,503.670740,88,7485,418,0,0xf8fadce21c6ceb2eec209167386d8fccedcf1809e10cf433eb4707842ad500c3
BSIF,0,0,setup,register_worker,19,499.313110,88,7485,419,0,0x6819c6b049a99050cc06c6528625612c03657ecb11e8d3f8c67e8844686eec1f
RPPS-TDC,0,0,setup,register_worker,19,503.475725,88,7485,420,0,0xdac61c57f39334fd2355704cf47441aa826432bc44f9d9d75c03aec606a092c3
BSIF,0,0,setup,register_worker,20,498.699389,88,7485,421,0,0xf576b52192a752d3bd406143a5310682e44fe902d6ae9167438d7a1ac5eb7b63
RPPS-TDC,0,0,setup,register_worker,20,502.131990,88,7485,422,0,0xa5dff551beb5a71ba69d9db10b33ab00c4e6750774cc8f780c1e11202ddc2ff0
BSIF,0,0,setup,register_worker,21,535.241085,88,7485,423,0,0x4e56185d948106cf22eb8daf4147aed4f3a6bacca12c7f505946846167dd632b
RPPS-TDC,0,0,setup,register_worker,21,466.271987,88,7485,424,0,0x3f99518d0d43107aabbd53db26b4907710a98b0fd4c7d56048ae02882639c520
BSIF,0,0,setup,register_worker,22,500.538669,88,7485,425,0,0xada212253e8d3ccbfad01553b44b9d5e0396ca5f4fa3e047401c178c45f13698
RPPS-TDC,0,0,setup,register_worker,22,501.050161,88,7485,426,0,0xc98254fe332af148fad09f71a4073ab316372d6cfc7f52f269a62cc6bb2f7ff9
BSIF,0,0,setup,register_worker,23,501.718855,88,7485,427,0,0x89e86770988dba624bb2b2b96f232fd43e22bc3d5a49cedb60a572e36125f123
RPPS-TDC,0,0,setup,register_worker,23,499.622562,88,7485,428,0,0x6c424b0fc70440f96e819f2c3c3ea105acfa4e60bcaf48baa649d8c16dbddf3f
BSIF,0,0,setup,register_worker,24,503.579801,88,7485,429,0,0xffd94b466ca2853062a61c9fde4acc9eb641256589c2c7bfa4034c78b2136b13
RPPS-TDC,0,0,setup,register_worker,24,499.263171,88,7485,430,0,0x730e9eaec78b2727eb9ad6721815fcc30a591da8e018180abf056b36a875710c
BSIF,0,0,setup,register_worker,25,503.956449,88,7485,431,0,0x321054a574e41d96ed6c1bf79215b41ab7f66ec32e4525ed9e6f6b06d1a32d00
RPPS-TDC,0,0,setup,register_worker,25,542.458381,88,7485,432,0,0x2f927f148dd06352834025f0e423ddba789049b1cae2c029e1c1c38eab54cd19
BSIF,0,0,setup,register_worker,26,517.601062,88,7485,433,0,0x687c0c6f5b59e43ba6f8f039f7a633b99d37c7ffed8d472cba47298888dd8e66
RPPS-TDC,0,0,setup,register_worker,26,614.128171,88,7485,434,0,0xbd4f105b0fdf06ce231387987a0a24acb3d8c2f6d9a25181be98c61ba362a730
BSIF,0,0,setup,register_worker,27,372.077613,88,7485,435,0,0x94fbb4c31747dc2ee6c620b75919ff2d4d1f7a509a42dcdfe47bfa370049538b
RPPS-TDC,0,0,setup,register_worker,27,503.641900,88,7485,436,0,0xe73f961723e36c5735a1c988e63a85c08e33ff924409d3462eb96e181d3f19c3
BSIF,0,0,setup,register_worker,28,501.616998,88,7485,437,0,0xc13432405eae39d8d60ae9100ed8e33b860d52f3a94c9e2641b725b8694c9a7d
RPPS-TDC,0,0,setup,register_worker,28,547.830065,88,7485,438,0,0x4f0247462f2a041548475681c11be400f644ee88aba4ce4f1f90f1d7db18b587
BSIF,0,0,setup,register_worker,29,499.003956,88,7485,439,0,0x6f57daa8629b3ba6fc8f646b4478734ff904b7cc7c488a6850f29c0c57e51949
RPPS-TDC,0,0,setup,register_worker,29,504.550688,88,7485,440,0,0x20ac4831a4e4a66b60b5d25c9d4d0dffff60e329ed74fb4832001372778f4d34
BSIF,0,0,setup,register_worker,30,499.369916,88,7485,441,0,0x0bf6a63ab2be2ac535ee0c6bf508c9b86fff4b2589c1fef65d9b7bc8f8ef33b7
RPPS-TDC,0,0,setup,register_worker,30,500.899625,88,7485,442,0,0x6b86a1b3cbdfcc4c2d27cdd36e23183084e43d25b66461522569b4cbf641eff8
BSIF,0,0,setup,register_worker,31,515.620429,88,7485,443,0,0xc36a56f8280972d3dce62e84750a502a167cf2216f2cec343a653b37929f5eb4
RPPS-TDC,0,0,setup,register_worker,31,488.367728,88,7485,444,0,0x115faa6896d0fbdeec6d0ebe7a3ceb591ab278b7d5d5e770892f85158d24cf49
BSIF,0,0,setup,register_worker,32,500.852159,88,7485,445,0,0xa9927f490b2143c9b5a90d58a31bf2900a4da275d121cda6725c469cb25c4c99
RPPS-TDC,0,0,setup,register_worker,32,504.386631,88,7485,446,0,0xff520e76ad24e7d55abdf116816b002527e7d2b24536de11a9f71f202e49dabf
BSIF,0,0,setup,register_worker,33,500.570166,88,7485,447,0,0xe75b23795ad8f12fedf14aecead00074f4e9b028414c5c66e902b7205fb9ca2e
RPPS-TDC,0,0,setup,register_worker,33,501.191787,88,7485,448,0,0xd9b102e66b6c5f1a65afca2a3ba2f2c1d67305551cd6a5544ebadd15e71bf0c0
BSIF,0,0,setup,register_worker,34,501.670454,88,7485,449,0,0xcbe165ebf6a66375acf218aed53e35d11074454f729ec66c52146c3db17e3b72
RPPS-TDC,0,0,setup,register_worker,34,498.608610,88,7485,450,0,0x3663d65ef64b3856651019b8449a4ca0f052b166b4f8220aed6e9ae6bd7ed505
BSIF,0,0,setup,register_worker,35,502.310141,88,7485,451,0,0x9af8d75c3bf696e5429daf45c5033d9ebda2c3e51890eba6d398dbf010239f31
RPPS-TDC,0,0,setup,register_worker,35,502.714264,88,7485,452,0,0x16e908689af2d4da56136083148def2f037d9371b7192f3923a7892766b08b55
BSIF,0,0,setup,register_worker,36,500.365423,88,7485,453,0,0x82f3b1681a5f7eb1ddf07769a14434e911e1d0a1ccff81553c57fd41aad20bfb
RPPS-TDC,0,0,setup,register_worker,36,500.475821,88,7485,454,0,0xe2e647cc6fb0074fc6a5672d18a3e7999ed03f015b5a73e1cd81ae748db0996e
BSIF,0,0,setup,register_worker,37,500.713244,88,7485,455,0,0x8b2dbd79283b6bc0e584eda4e2f969a2d11d899241c5c4c95de9545f8a17d7ff
