method,scene,target_workers,seed,mode,malicious_ratio,strength,malicious_retained,malicious_total,malicious_report_leakage
QE,Climate,27,20260818,independent,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260818,independent,0.3,0.5,651,651,1.0
QE,Climate,27,20260818,compact,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260818,compact,0.3,0.5,651,651,1.0
QE,Climate,27,20260818,onoff,0.3,0.5,349,349,1.0
PRTD,Climate,27,20260818,onoff,0.3,0.5,349,349,1.0
QE,Climate,27,20260818,mature_anchor,0.3,0.5,489,489,1.0
PRTD,Climate,27,20260818,mature_anchor,0.3,0.5,489,489,1.0
QE,Climate,27,20260819,independent,0.3,0.5,645,645,1.0
PRTD,Climate,27,20260819,independent,0.3,0.5,645,645,1.0
QE,Climate,27,20260819,compact,0.3,0.5,645,645,1.0
PRTD,Climate,27,20260819,compact,0.3,0.5,645,645,1.0
QE,Climate,27,20260819,onoff,0.3,0.5,325,325,1.0
PRTD,Climate,27,20260819,onoff,0.3,0.5,325,325,1.0
QE,Climate,27,20260819,mature_anchor,0.3,0.5,468,468,1.0
PRTD,Climate,27,20260819,mature_anchor,0.3,0.5,468,468,1.0
QE,Climate,27,20260820,independent,0.3,0.5,646,646,1.0
PRTD,Climate,27,20260820,independent,0.3,0.5,646,646,1.0
QE,Climate,27,20260820,compact,0.3,0.5,646,646,1.0
PRTD,Climate,27,20260820,compact,0.3,0.5,646,646,1.0
QE,Climate,27,20260820,onoff,0.3,0.5,333,333,1.0
PRTD,Climate,27,20260820,onoff,0.3,0.5,333,333,1.0
QE,Climate,27,20260820,mature_anchor,0.3,0.5,505,505,1.0
PRTD,Climate,27,20260820,mature_anchor,0.3,0.5,505,505,1.0
QE,Climate,27,20260821,independent,0.3,0.5,636,636,1.0
PRTD,Climate,27,20260821,independent,0.3,0.5,636,636,1.0
QE,Climate,27,20260821,compact,0.3,0.5,636,636,1.0
PRTD,Climate,27,20260821,compact,0.3,0.5,636,636,1.0
QE,Climate,27,20260821,onoff,0.3,0.5,333,333,1.0
PRTD,Climate,27,20260821,onoff,0.3,0.5,333,333,1.0
QE,Climate,27,20260821,mature_anchor,0.3,0.5,486,486,1.0
PRTD,Climate,27,20260821,mature_anchor,0.3,0.5,486,486,1.0
QE,Climate,27,20260822,independent,0.3,0.5,637,637,1.0
PRTD,Climate,27,20260822,independent,0.3,0.5,637,637,1.0
QE,Climate,27,20260822,compact,0.3,0.5,637,637,1.0
PRTD,Climate,27,20260822,compact,0.3,0.5,637,637,1.0
QE,Climate,27,20260822,onoff,0.3,0.5,315,315,1.0
PRTD,Climate,27,20260822,onoff,0.3,0.5,315,315,1.0
QE,Climate,27,20260822,mature_anchor,0.3,0.5,470,470,1.0
PRTD,Climate,27,20260822,mature_anchor,0.3,0.5,470,470,1.0
QE,Climate,27,20260823,independent,0.3,0.5,630,630,1.0
PRTD,Climate,27,20260823,independent,0.3,0.5,630,630,1.0
QE,Climate,27,20260823,compact,0.3,0.5,630,630,1.0
PRTD,Climate,27,20260823,compact,0.3,0.5,630,630,1.0
QE,Climate,27,20260823,onoff,0.3,0.5,304,304,1.0
PRTD,Climate,27,20260823,onoff,0.3,0.5,304,304,1.0
QE,Climate,27,20260823,mature_anchor,0.3,0.5,460,460,1.0
PRTD,Climate,27,20260823,mature_anchor,0.3,0.5,460,460,1.0
QE,Climate,27,20260824,independent,0.3,0.5,638,638,1.0
PRTD,Climate,27,20260824,independent,0.3,0.5,638,638,1.0
QE,Climate,27,20260824,compact,0.3,0.5,638,638,1.0
PRTD,Climate,27,20260824,compact,0.3,0.5,638,638,1.0
QE,Climate,27,20260824,onoff,0.3,0.5,336,336,1.0
PRTD,Climate,27,20260824,onoff,0.3,0.5,336,336,1.0
QE,Climate,27,20260824,mature_anchor,0.3,0.5,465,465,1.0
PRTD,Climate,27,20260824,mature_anchor,0.3,0.5,465,465,1.0
QE,Climate,27,20260825,independent,0.3,0.5,647,647,1.0
PRTD,Climate,27,20260825,independent,0.3,0.5,647,647,1.0
QE,Climate,27,20260825,compact,0.3,0.5,647,647,1.0
PRTD,Climate,27,20260825,compact,0.3,0.5,647,647,1.0
QE,Climate,27,20260825,onoff,0.3,0.5,326,326,1.0
PRTD,Climate,27,20260825,onoff,0.3,0.5,326,326,1.0
QE,Climate,27,20260825,mature_anchor,0.3,0.5,482,482,1.0
PRTD,Climate,27,20260825,mature_anchor,0.3,0.5,482,482,1.0
QE,Climate,27,20260826,independent,0.3,0.5,646,646,1.0
PRTD,Climate,27,20260826,independent,0.3,0.5,646,646,1.0
QE,Climate,27,20260826,compact,0.3,0.5,646,646,1.0
PRTD,Climate,27,20260826,compact,0.3,0.5,646,646,1.0
QE,Climate,27,20260826,onoff,0.3,0.5,322,322,1.0
PRTD,Climate,27,20260826,onoff,0.3,0.5,322,322,1.0
