method,scene,target_workers,seed,mode,malicious_ratio,strength,malicious_retained,malicious_total,malicious_report_leakage
PRTD,Traffic,27,20260826,mature_anchor,0.3,0.5,548,548,1.0
QE,Traffic,27,20260827,independent,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260827,independent,0.3,0.5,675,675,1.0
QE,Traffic,27,20260827,compact,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260827,compact,0.3,0.5,675,675,1.0
QE,Traffic,27,20260827,onoff,0.3,0.5,329,329,1.0
PRTD,Traffic,27,20260827,onoff,0.3,0.5,329,329,1.0
QE,Traffic,27,20260827,mature_anchor,0.3,0.5,552,552,1.0
PRTD,Traffic,27,20260827,mature_anchor,0.3,0.5,552,552,1.0
QE,Traffic,27,20260828,independent,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260828,independent,0.3,0.5,682,682,1.0
QE,Traffic,27,20260828,compact,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260828,compact,0.3,0.5,682,682,1.0
QE,Traffic,27,20260828,onoff,0.3,0.5,335,335,1.0
PRTD,Traffic,27,20260828,onoff,0.3,0.5,335,335,1.0
QE,Traffic,27,20260828,mature_anchor,0.3,0.5,549,549,1.0
PRTD,Traffic,27,20260828,mature_anchor,0.3,0.5,549,549,1.0
QE,Traffic,27,20260829,independent,0.3,0.5,666,666,1.0
PRTD,Traffic,27,20260829,independent,0.3,0.5,666,666,1.0
QE,Traffic,27,20260829,compact,0.3,0.5,666,666,1.0
PRTD,Traffic,27,20260829,compact,0.3,0.5,666,666,1.0
QE,Traffic,27,20260829,onoff,0.3,0.5,309,309,1.0
PRTD,Traffic,27,20260829,onoff,0.3,0.5,309,309,1.0
QE,Traffic,27,20260829,mature_anchor,0.3,0.5,536,536,1.0
PRTD,Traffic,27,20260829,mature_anchor,0.3,0.5,536,536,1.0
QE,Traffic,27,20260830,independent,0.3,0.5,670,670,1.0
PRTD,Traffic,27,20260830,independent,0.3,0.5,670,670,1.0
QE,Traffic,27,20260830,compact,0.3,0.5,670,670,1.0
PRTD,Traffic,27,20260830,compact,0.3,0.5,670,670,1.0
QE,Traffic,27,20260830,onoff,0.3,0.5,327,327,1.0
PRTD,Traffic,27,20260830,onoff,0.3,0.5,327,327,1.0
QE,Traffic,27,20260830,mature_anchor,0.3,0.5,540,540,1.0
PRTD,Traffic,27,20260830,mature_anchor,0.3,0.5,540,540,1.0
QE,Traffic,27,20260831,independent,0.3,0.5,677,677,1.0
PRTD,Traffic,27,20260831,independent,0.3,0.5,677,677,1.0
QE,Traffic,27,20260831,compact,0.3,0.5,677,677,1.0
PRTD,Traffic,27,20260831,compact,0.3,0.5,677,677,1.0
QE,Traffic,27,20260831,onoff,0.3,0.5,339,339,1.0
PRTD,Traffic,27,20260831,onoff,0.3,0.5,339,339,1.0
QE,Traffic,27,20260831,mature_anchor,0.3,0.5,549,549,1.0
PRTD,Traffic,27,20260831,mature_anchor,0.3,0.5,549,549,1.0
QE,Traffic,27,20260832,independent,0.3,0.5,683,683,1.0
PRTD,Traffic,27,20260832,independent,0.3,0.5,683,683,1.0
QE,Traffic,27,20260832,compact,0.3,0.5,683,683,1.0
PRTD,Traffic,27,20260832,compact,0.3,0.5,683,683,1.0
QE,Traffic,27,20260832,onoff,0.3,0.5,337,337,1.0
PRTD,Traffic,27,20260832,onoff,0.3,0.5,337,337,1.0
QE,Traffic,27,20260832,mature_anchor,0.3,0.5,558,558,1.0
PRTD,Traffic,27,20260832,mature_anchor,0.3,0.5,558,558,1.0
QE,Traffic,27,20260833,independent,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260833,independent,0.3,0.5,682,682,1.0
QE,Traffic,27,20260833,compact,0.3,0.5,682,682,1.0
PRTD,Traffic,27,20260833,compact,0.3,0.5,682,682,1.0
QE,Traffic,27,20260833,onoff,0.3,0.5,339,339,1.0
PRTD,Traffic,27,20260833,onoff,0.3,0.5,339,339,1.0
QE,Traffic,27,20260833,mature_anchor,0.3,0.5,550,550,1.0
PRTD,Traffic,27,20260833,mature_anchor,0.3,0.5,550,550,1.0
QE,Traffic,27,20260834,independent,0.3,0.5,672,672,1.0
PRTD,Traffic,27,20260834,independent,0.3,0.5,672,672,1.0
QE,Traffic,27,20260834,compact,0.3,0.5,672,672,1.0
PRTD,Traffic,27,20260834,compact,0.3,0.5,672,672,1.0
QE,Traffic,27,20260834,onoff,0.3,0.5,325,325,1.0
PRTD,Traffic,27,20260834,onoff,0.3,0.5,325,325,1.0
QE,Traffic,27,20260834,mature_anchor,0.3,0.5,538,538,1.0
PRTD,Traffic,27,20260834,mature_anchor,0.3,0.5,538,538,1.0
QE,Traffic,27,20260835,independent,0.3,0.5,658,658,1.0
PRTD,Traffic,27,20260835,independent,0.3,0.5,658,658,1.0
QE,Traffic,27,20260835,compact,0.3,0.5,658,658,1.0
PRTD,Traffic,27,20260835,compact,0.3,0.5,658,658,1.0
QE,Traffic,27,20260835,onoff,0.3,0.5,306,306,1.0
PRTD,Traffic,27,20260835,onoff,0.3,0.5,306,306,1.0
QE,Traffic,27,20260835,mature_anchor,0.3,0.5,532,532,1.0
PRTD,Traffic,27,20260835,mature_anchor,0.3,0.5,532,532,1.0
QE,Traffic,27,20260836,independent,0.3,0.5,668,668,1.0
PRTD,Traffic,27,20260836,independent,0.3,0.5,668,668,1.0
QE,Traffic,27,20260836,compact,0.3,0.5,668,668,1.0
PRTD,Traffic,27,20260836,compact,0.3,0.5,668,668,1.0
QE,Traffic,27,20260836,onoff,0.3,0.5,325,325,1.0
PRTD,Traffic,27,20260836,onoff,0.3,0.5,325,325,1.0
QE,Traffic,27,20260836,mature_anchor,0.3,0.5,529,529,1.0
PRTD,Traffic,27,20260836,mature_anchor,0.3,0.5,529,529,1.0
QE,Traffic,27,20260837,independent,0.3,0.5,669,669,1.0
PRTD,Traffic,27,20260837,independent,0.3,0.5,669,669,1.0
QE,Traffic,27,20260837,compact,0.3,0.5,669,669,1.0
PRTD,Traffic,27,20260837,compact,0.3,0.5,669,669,1.0
QE,Traffic,27,20260837,onoff,0.3,0.5,331,331,1.0
PRTD,Traffic,27,20260837,onoff,0.3,0.5,331,331,1.0
QE,Traffic,27,20260837,mature_anchor,0.3,0.5,536,536,1.0
PRTD,Traffic,27,20260837,mature_anchor,0.3,0.5,536,536,1.0
QE,Water,27,20260808,independent,0.3,0.5,693,693,1.0
PRTD,Water,27,20260808,independent,0.3,0.5,693,693,1.0
QE,Water,27,20260808,compact,0.3,0.5,693,693,1.0
PRTD,Water,27,20260808,compact,0.3,0.5,693,693,1.0
QE,Water,27,20260808,onoff,0.3,0.5,365,365,1.0
PRTD,Water,27,20260808,onoff,0.3,0.5,365,365,1.0
QE,Water,27,20260808,mature_anchor,0.3,0.5,492,492,1.0
PRTD,Water,27,20260808,mature_anchor,0.3,0.5,492,492,1.0
QE,Water,27,20260809,independent,0.3,0.5,678,678,1.0
PRTD,Water,27,20260809,independent,0.3,0.5,678,678,1.0
QE,Water,27,20260809,compact,0.3,0.5,678,678,1.0
PRTD,Water,27,20260809,compact,0.3,0.5,678,678,1.0
QE,Water,27,20260809,onoff,0.3,0.5,348,348,1.0
PRTD,Water,27,20260809,onoff,0.3,0.5,348,348,1.0
QE,Water,27,20260809,mature_anchor,0.3,0.5,484,484,1.0
PRTD,Water,27,20260809,mature_anchor,0.3,0.5,484,484,1.0
QE,Water,27,20260810,independent,0.3,0.5,666,666,1.0
PRTD,Water,27,20260810,independent,0.3,0.5,666,666,1.0
QE,Water,27,20260810,compact,0.3,0.5,666,666,1.0
PRTD,Water,27,20260810,compact,0.3,0.5,666,666,1.0
QE,Water,27,20260810,onoff,0.3,0.5,346,346,1.0
PRTD,Water,27,20260810,onoff,0.3,0.5,346,346,1.0
QE,Water,27,20260810,mature_anchor,0.3,0.5,478,478,1.0
PRTD,Water,27,20260810,mature_anchor,0.3,0.5,478,478,1.0
QE,Water,27,20260811,independent,0.3,0.5,687,687,1.0
PRTD,Water,27,20260811,independent,0.3,0.5,687,687,1.0
QE,Water,27,20260811,compact,0.3,0.5,687,687,1.0
PRTD,Water,27,20260811,compact,0.3,0.5,687,687,1.0
QE,Water,27,20260811,onoff,0.3,0.5,349,349,1.0
PRTD,Water,27,20260811,onoff,0.3,0.5,349,349,1.0
QE,Water,27,20260811,mature_anchor,0.3,0.5,478,478,1.0
PRTD,Water,27,20260811,mature_anchor,0.3,0.5,478,478,1.0
QE,Water,27,20260812,independent,0.3,0.5,674,674,1.0
PRTD,Water,27,20260812,independent,0.3,0.5,674,674,1.0
QE,Water,27,20260812,compact,0.3,0.5,674,674,1.0
PRTD,Water,27,20260812,compact,0.3,0.5,674,674,1.0
QE,Water,27,20260812,onoff,0.3,0.5,347,347,1.0
PRTD,Water,27,20260812,onoff,0.3,0.5,347,347,1.0
QE,Water,27,20260812,mature_anchor,0.3,0.5,468,468,1.0
PRTD,Water,27,20260812,mature_anchor,0.3,0.5,468,468,1.0
QE,Water,27,20260813,independent,0.3,0.5,681,681,1.0
PRTD,Water,27,20260813,independent,0.3,0.5,681,681,1.0
QE,Water,27,20260813,compact,0.3,0.5,681,681,1.0
PRTD,Water,27,20260813,compact,0.3,0.5,681,681,1.0
QE,Water,27,20260813,onoff,0.3,0.5,346,346,1.0
PRTD,Water,27,20260813,onoff,0.3,0.5,346,346,1.0
QE,Water,27,20260813,mature_anchor,0.3,0.5,499,499,1.0
PRTD,Water,27,20260813,mature_anchor,0.3,0.5,499,499,1.0
QE,Water,27,20260814,independent,0.3,0.5,666,666,1.0
PRTD,Water,27,20260814,independent,0.3,0.5,666,666,1.0
QE,Water,27,20260814,compact,0.3,0.5,666,666,1.0
PRTD,Water,27,20260814,compact,0.3,0.5,666,666,1.0
QE,Water,27,20260814,onoff,0.3,0.5,350,350,1.0
PRTD,Water,27,20260814,onoff,0.3,0.5,350,350,1.0
QE,Water,27,20260814,mature_anchor,0.3,0.5,458,458,1.0
PRTD,Water,27,20260814,mature_anchor,0.3,0.5,458,458,1.0
QE,Water,27,20260815,independent,0.3,0.5,666,666,1.0
PRTD,Water,27,20260815,independent,0.3,0.5,666,666,1.0
QE,Water,27,20260815,compact,0.3,0.5,666,666,1.0
PRTD,Water,27,20260815,compact,0.3,0.5,666,666,1.0
QE,Water,27,20260815,onoff,0.3,0.5,353,353,1.0
PRTD,Water,27,20260815,onoff,0.3,0.5,353,353,1.0
QE,Water,27,20260815,mature_anchor,0.3,0.5,469,469,1.0
PRTD,Water,27,20260815,mature_anchor,0.3,0.5,469,469,1.0
QE,Water,27,20260816,independent,0.3,0.5,688,688,1.0
PRTD,Water,27,20260816,independent,0.3,0.5,688,688,1.0
QE,Water,27,20260816,compact,0.3,0.5,688,688,1.0
PRTD,Water,27,20260816,compact,0.3,0.5,688,688,1.0
QE,Water,27,20260816,onoff,0.3,0.5,360,360,1.0
PRTD,Water,27,20260816,onoff,0.3,0.5,360,360,1.0
QE,Water,27,20260816,mature_anchor,0.3,0.5,476,476,1.0
PRTD,Water,27,20260816,mature_anchor,0.3,0.5,476,476,1.0
QE,Water,27,20260817,independent,0.3,0.5,670,670,1.0
PRTD,Water,27,20260817,independent,0.3,0.5,670,670,1.0
QE,Water,27,20260817,compact,0.3,0.5,670,670,1.0
PRTD,Water,27,20260817,compact,0.3,0.5,670,670,1.0
QE,Water,27,20260817,onoff,0.3,0.5,327,327,1.0
PRTD,Water,27,20260817,onoff,0.3,0.5,327,327,1.0
QE,Water,27,20260817,mature_anchor,0.3,0.5,465,465,1.0
PRTD,Water,27,20260817,mature_anchor,0.3,0.5,465,465,1.0
QE,Water,27,20260818,independent,0.3,0.5,669,669,1.0
PRTD,Water,27,20260818,independent,0.3,0.5,669,669,1.0
QE,Water,27,20260818,compact,0.3,0.5,669,669,1.0
PRTD,Water,27,20260818,compact,0.3,0.5,669,669,1.0
QE,Water,27,20260818,onoff,0.3,0.5,360,360,1.0
PRTD,Water,27,20260818,onoff,0.3,0.5,360,360,1.0
QE,Water,27,20260818,mature_anchor,0.3,0.5,483,483,1.0
PRTD,Water,27,20260818,mature_anchor,0.3,0.5,483,483,1.0
QE,Water,27,20260819,independent,0.3,0.5,673,673,1.0
PRTD,Water,27,20260819,independent,0.3,0.5,673,673,1.0
QE,Water,27,20260819,compact,0.3,0.5,673,673,1.0
PRTD,Water,27,20260819,compact,0.3,0.5,673,673,1.0
QE,Water,27,20260819,onoff,0.3,0.5,347,347,1.0
PRTD,Water,27,20260819,onoff,0.3,0.5,347,347,1.0
QE,Water,27,20260819,mature_anchor,0.3,0.5,468,468,1.0
PRTD,Water,27,20260819,mature_anchor,0.3,0.5,468,468,1.0
QE,Water,27,20260820,independent,0.3,0.5,685,685,1.0
PRTD,Water,27,20260820,independent,0.3,0.5,685,685,1.0
QE,Water,27,20260820,compact,0.3,0.5,685,685,1.0
PRTD,Water,27,20260820,compact,0.3,0.5,685,685,1.0
QE,Water,27,20260820,onoff,0.3,0.5,351,351,1.0
PRTD,Water,27,20260820,onoff,0.3,0.5,351,351,1.0
QE,Water,27,20260820,mature_anchor,0.3,0.5,465,465,1.0
PRTD,Water,27,20260820,mature_anchor,0.3,0.5,465,465,1.0
QE,Water,27,20260821,independent,0.3,0.5,692,692,1.0
PRTD,Water,27,20260821,independent,0.3,0.5,692,692,1.0
QE,Water,27,20260821,compact,0.3,0.5,692,692,1.0
PRTD,Water,27,20260821,compact,0.3,0.5,692,692,1.0
QE,Water,27,20260821,onoff,0.3,0.5,359,359,1.0
PRTD,Water,27,20260821,onoff,0.3,0.5,359,359,1.0
QE,Water,27,20260821,mature_anchor,0.3,0.5,487,487,1.0
PRTD,Water,27,20260821,mature_anchor,0.3,0.5,487,487,1.0
QE,Water,27,20260822,independent,0.3,0.5,679,679,1.0
PRTD,Water,27,20260822,independent,0.3,0.5,679,679,1.0
QE,Water,27,20260822,compact,0.3,0.5,679,679,1.0
PRTD,Water,27,20260822,compact,0.3,0.5,679,679,1.0
QE,Water,27,20260822,onoff,0.3,0.5,353,353,1.0
PRTD,Water,27,20260822,onoff,0.3,0.5,353,353,1.0
QE,Water,27,20260822,mature_anchor,0.3,0.5,481,481,1.0
PRTD,Water,27,20260822,mature_anchor,0.3,0.5,481,481,1.0
QE,Water,27,20260823,independent,0.3,0.5,679,679,1.0
PRTD,Water,27,20260823,independent,0.3,0.5,679,679,1.0
QE,Water,27,20260823,compact,0.3,0.5,679,679,1.0
PRTD,Water,27,20260823,compact,0.3,0.5,679,679,1.0
QE,Water,27,20260823,onoff,0.3,0.5,360,360,1.0
PRTD,Water,27,20260823,onoff,0.3,0.5,360,360,1.0
QE,Water,27,20260823,mature_anchor,0.3,0.5,492,492,1.0
PRTD,Water,27,20260823,mature_anchor,0.3,0.5,492,492,1.0
QE,Water,27,20260824,independent,0.3,0.5,674,674,1.0
PRTD,Water,27,20260824,independent,0.3,0.5,674,674,1.0
QE,Water,27,20260824,compact,0.3,0.5,674,674,1.0
PRTD,Water,27,20260824,compact,0.3,0.5,674,674,1.0
QE,Water,27,20260824,onoff,0.3,0.5,356,356,1.0
PRTD,Water,27,20260824,onoff,0.3,0.5,356,356,1.0
QE,Water,27,20260824,mature_anchor,0.3,0.5,482,482,1.0
PRTD,Water,27,20260824,mature_anchor,0.3,0.5,482,482,1.0
QE,Water,27,20260825,independent,0.3,0.5,688,688,1.0
PRTD,Water,27,20260825,independent,0.3,0.5,688,688,1.0
QE,Water,27,20260825,compact,0.3,0.5,688,688,1.0
PRTD,Water,27,20260825,compact,0.3,0.5,688,688,1.0
QE,Water,27,20260825,onoff,0.3,0.5,365,365,1.0
PRTD,Water,27,20260825,onoff,0.3,0.5,365,365,1.0
QE,Water,27,20260825,mature_anchor,0.3,0.5,478,478,1.0
PRTD,Water,27,20260825,mature_anchor,0.3,0.5,478,478,1.0
QE,Water,27,20260826,independent,0.3,0.5,683,683,1.0
PRTD,Water,27,20260826,independent,0.3,0.5,683,683,1.0
QE,Water,27,20260826,compact,0.3,0.5,683,683,1.0
PRTD,Water,27,20260826,compact,0.3,0.5,683,683,1.0
QE,Water,27,20260826,onoff,0.3,0.5,357,357,1.0
PRTD,Water,27,20260826,onoff,0.3,0.5,357,357,1.0
QE,Water,27,20260826,mature_anchor,0.3,0.5,496,496,1.0
PRTD,Water,27,20260826,mature_anchor,0.3,0.5,496,496,1.0
QE,Water,27,20260827,independent,0.3,0.5,661,661,1.0
PRTD,Water,27,20260827,independent,0.3,0.5,661,661,1.0
QE,Water,27,20260827,compact,0.3,0.5,661,661,1.0
PRTD,Water,27,20260827,compact,0.3,0.5,661,661,1.0
QE,Water,27,20260827,onoff,0.3,0.5,336,336,1.0
PRTD,Water,27,20260827,onoff,0.3,0.5,336,336,1.0
QE,Water,27,20260827,mature_anchor,0.3,0.5,473,473,1.0
PRTD,Water,27,20260827,mature_anchor,0.3,0.5,473,473,1.0
QE,Water,27,20260828,independent,0.3,0.5,684,684,1.0
PRTD,Water,27,20260828,independent,0.3,0.5,684,684,1.0
QE,Water,27,20260828,compact,0.3,0.5,684,684,1.0
PRTD,Water,27,20260828,compact,0.3,0.5,684,684,1.0
QE,Water,27,20260828,onoff,0.3,0.5,365,365,1.0
PRTD,Water,27,20260828,onoff,0.3,0.5,365,365,1.0
QE,Water,27,20260828,mature_anchor,0.3,0.5,480,480,1.0
PRTD,Water,27,20260828,mature_anchor,0.3,0.5,480,480,1.0
QE,Water,27,20260829,independent,0.3,0.5,683,683,1.0
PRTD,Water,27,20260829,independent,0.3,0.5,683,683,1.0
QE,Water,27,20260829,compact,0.3,0.5,683,683,1.0
PRTD,Water,27,20260829,compact,0.3,0.5,683,683,1.0
QE,Water,27,20260829,onoff,0.3,0.5,348,348,1.0
PRTD,Water,27,20260829,onoff,0.3,0.5,348,348,1.0
QE,Water,27,20260829,mature_anchor,0.3,0.5,483,483,1.0
PRTD,Water,27,20260829,mature_anchor,0.3,0.5,483,483,1.0
QE,Water,27,20260830,independent,0.3,0.5,669,669,1.0
PRTD,Water,27,20260830,independent,0.3,0.5,669,669,1.0
QE,Water,27,20260830,compact,0.3,0.5,669,669,1.0
PRTD,Water,27,20260830,compact,0.3,0.5,669,669,1.0
QE,Water,27,20260830,onoff,0.3,0.5,357,357,1.0
PRTD,Water,27,20260830,onoff,0.3,0.5,357,357,1.0
QE,Water,27,20260830,mature_anchor,0.3,0.5,467,467,1.0
PRTD,Water,27,20260830,mature_anchor,0.3,0.5,467,467,1.0
QE,Water,27,20260831,independent,0.3,0.5,677,677,1.0
PRTD,Water,27,20260831,independent,0.3,0.5,677,677,1.0
QE,Water,27,20260831,compact,0.3,0.5,677,677,1.0
PRTD,Water,27,20260831,compact,0.3,0.5,677,677,1.0
QE,Water,27,20260831,onoff,0.3,0.5,347,347,1.0
PRTD,Water,27,20260831,onoff,0.3,0.5,347,347,1.0
QE,Water,27,20260831,mature_anchor,0.3,0.5,475,475,1.0
PRTD,Water,27,20260831,mature_anchor,0.3,0.5,475,475,1.0
QE,Water,27,20260832,independent,0.3,0.5,676,676,1.0
PRTD,Water,27,20260832,independent,0.3,0.5,676,676,1.0
QE,Water,27,20260832,compact,0.3,0.5,676,676,1.0
PRTD,Water,27,20260832,compact,0.3,0.5,676,676,1.0
QE,Water,27,20260832,onoff,0.3,0.5,339,339,1.0
PRTD,Water,27,20260832,onoff,0.3,0.5,339,339,1.0
QE,Water,27,20260832,mature_anchor,0.3,0.5,474,474,1.0
PRTD,Water,27,20260832,mature_anchor,0.3,0.5,474,474,1.0
QE,Water,27,20260833,independent,0.3,0.5,681,681,1.0
PRTD,Water,27,20260833,independent,0.3,0.5,681,681,1.0
QE,Water,27,20260833,compact,0.3,0.5,681,681,1.0
PRTD,Water,27,20260833,compact,0.3,0.5,681,681,1.0
QE,Water,27,20260833,onoff,0.3,0.5,354,354,1.0
PRTD,Water,27,20260833,onoff,0.3,0.5,354,354,1.0
QE,Water,27,20260833,mature_anchor,0.3,0.5,483,483,1.0
PRTD,Water,27,20260833,mature_anchor,0.3,0.5,483,483,1.0
QE,Water,27,20260834,independent,0.3,0.5,669,669,1.0
PRTD,Water,27,20260834,independent,0.3,0.5,669,669,1.0
QE,Water,27,20260834,compact,0.3,0.5,669,669,1.0
PRTD,Water,27,20260834,compact,0.3,0.5,669,669,1.0
QE,Water,27,20260834,onoff,0.3,0.5,357,357,1.0
PRTD,Water,27,20260834,onoff,0.3,0.5,357,357,1.0
QE,Water,27,20260834,mature_anchor,0.3,0.5,471,471,1.0
PRTD,Water,27,20260834,mature_anchor,0.3,0.5,471,471,1.0
QE,Water,27,20260835,independent,0.3,0.5,674,674,1.0
PRTD,Water,27,20260835,independent,0.3,0.5,674,674,1.0
QE,Water,27,20260835,compact,0.3,0.5,674,674,1.0
PRTD,Water,27,20260835,compact,0.3,0.5,674,674,1.0
QE,Water,27,20260835,onoff,0.3,0.5,339,339,1.0
PRTD,Water,27,20260835,onoff,0.3,0.5,339,339,1.0
QE,Water,27,20260835,mature_anchor,0.3,0.5,473,473,1.0
PRTD,Water,27,20260835,mature_anchor,0.3,0.5,473,473,1.0
QE,Water,27,20260836,independent,0.3,0.5,681,681,1.0
PRTD,Water,27,20260836,independent,0.3,0.5,681,681,1.0
QE,Water,27,20260836,compact,0.3,0.5,681,681,1.0
PRTD,Water,27,20260836,compact,0.3,0.5,681,681,1.0
QE,Water,27,20260836,onoff,0.3,0.5,349,349,1.0
PRTD,Water,27,20260836,onoff,0.3,0.5,349,349,1.0
QE,Water,27,20260836,mature_anchor,0.3,0.5,476,476,1.0
PRTD,Water,27,20260836,mature_anchor,0.3,0.5,476,476,1.0
QE,Water,27,20260837,independent,0.3,0.5,677,677,1.0
PRTD,Water,27,20260837,independent,0.3,0.5,677,677,1.0
QE,Water,27,20260837,compact,0.3,0.5,677,677,1.0
PRTD,Water,27,20260837,compact,0.3,0.5,677,677,1.0
QE,Water,27,20260837,onoff,0.3,0.5,351,351,1.0
PRTD,Water,27,20260837,onoff,0.3,0.5,351,351,1.0
QE,Water,27,20260837,mature_anchor,0.3,0.5,457,457,1.0
PRTD,Water,27,20260837,mature_anchor,0.3,0.5,457,457,1.0
