variant,block_end,scene,seed,ordinary_anchor_purity
All-Anchors,20,Traffic,20260810,0.6993464052287581
All-Anchors,20,Traffic,20260811,0.7026143790849673
All-Anchors,20,Traffic,20260812,0.6764705882352942
All-Anchors,20,Traffic,20260813,0.6797385620915033
All-Anchors,20,Traffic,20260814,0.7091503267973857
All-Anchors,20,Traffic,20260815,0.7222222222222222
All-Anchors,20,Traffic,20260816,0.6862745098039216
All-Anchors,20,Traffic,20260817,0.6895424836601307
All-Anchors,20,Traffic,20260818,0.6928104575163399
All-Anchors,20,Traffic,20260819,0.7124183006535948
All-Anchors,20,Traffic,20260820,0.6764705882352942
All-Anchors,20,Traffic,20260821,0.6830065359477124
All-Anchors,20,Traffic,20260822,0.6601307189542484
All-Anchors,20,Traffic,20260823,0.7058823529411765
All-Anchors,20,Traffic,20260824,0.6993464052287581
All-Anchors,20,Traffic,20260825,0.7026143790849673
All-Anchors,20,Traffic,20260826,0.7254901960784313
All-Anchors,20,Traffic,20260827,0.6699346405228758
All-Anchors,20,Traffic,20260828,0.7026143790849673
All-Anchors,20,Traffic,20260829,0.6666666666666666
All-Anchors,20,Traffic,20260830,0.7058823529411765
All-Anchors,20,Traffic,20260831,0.6797385620915033
All-Anchors,20,Traffic,20260832,0.7026143790849673
All-Anchors,20,Traffic,20260833,0.7091503267973857
All-Anchors,20,Traffic,20260834,0.6928104575163399
All-Anchors,20,Traffic,20260835,0.6797385620915033
All-Anchors,20,Traffic,20260836,0.673202614379085
All-Anchors,20,Traffic,20260837,0.6830065359477124
All-Anchors,20,Water,20260808,0.75
All-Anchors,20,Water,20260809,0.7007575757575758
All-Anchors,20,Water,20260810,0.696969696969697
All-Anchors,20,Water,20260811,0.7083333333333334
All-Anchors,20,Water,20260812,0.6856060606060606
All-Anchors,20,Water,20260813,0.696969696969697
All-Anchors,20,Water,20260814,0.7121212121212122
All-Anchors,20,Water,20260815,0.6893939393939394
All-Anchors,20,Water,20260816,0.7272727272727273
All-Anchors,20,Water,20260817,0.6666666666666666
All-Anchors,20,Water,20260818,0.6666666666666666
All-Anchors,20,Water,20260819,0.6931818181818182
All-Anchors,20,Water,20260820,0.6893939393939394
All-Anchors,20,Water,20260821,0.7045454545454546
All-Anchors,20,Water,20260822,0.678030303030303
All-Anchors,20,Water,20260823,0.7234848484848485
All-Anchors,20,Water,20260824,0.6893939393939394
All-Anchors,20,Water,20260825,0.7196969696969697
All-Anchors,20,Water,20260826,0.696969696969697
All-Anchors,20,Water,20260827,0.6856060606060606
All-Anchors,20,Water,20260828,0.6893939393939394
All-Anchors,20,Water,20260829,0.6818181818181818
All-Anchors,20,Water,20260830,0.7007575757575758
All-Anchors,20,Water,20260831,0.6856060606060606
All-Anchors,20,Water,20260832,0.7272727272727273
All-Anchors,20,Water,20260833,0.7196969696969697
All-Anchors,20,Water,20260834,0.7196969696969697
All-Anchors,20,Water,20260835,0.678030303030303
All-Anchors,20,Water,20260836,0.7121212121212122
All-Anchors,20,Water,20260837,0.7007575757575758
All-Anchors,30,Climate,20260808,0.6840148698884758
