mode,block_end,error_ratio,error_ratio_ci_low,error_ratio_ci_high,seeds
mature_anchor,10,1.0,1.0,1.0,30
mature_anchor,20,1.0,1.0,1.0,30
mature_anchor,30,1.0,1.0,1.0,30
mature_anchor,40,1.0,1.0,1.0,30
mature_anchor,50,71.61348718039817,60.89169573617765,82.60853655629401,30
mature_anchor,60,54.77926348864547,44.436440992796385,66.39821681721841,30
mature_anchor,70,28.6359062652622,21.537982829800253,37.17852280490837,30
mature_anchor,80,9.231768906749783,6.605522808970976,12.894475883959233,30
mature_anchor,90,3.385736835293449,2.543531931925443,4.449939943362177,30
mature_anchor,100,1.3477381761410465,1.2794403095056506,1.425910353501288,30
onoff,10,1.0,1.0,1.0,30
onoff,20,1.0,1.0,1.0,30
onoff,30,100.56332496727399,78.21130522950959,122.81554811626826,30
onoff,40,1.0348167917578723,1.0260059843025147,1.0443794057750684,30
onoff,50,33.71839508712316,25.349228850203318,43.80137369779847,30
onoff,60,1.0519550849440529,1.0418596449020228,1.0616685916582405,30
onoff,70,39.62867520296804,30.19711964172055,51.1629120224258,30
onoff,80,1.061180313711364,1.0479563224243775,1.0732540798903747,30
onoff,90,38.783211688259165,26.57677067760893,54.96997377269825,30
onoff,100,1.0676561120746009,1.054745330153249,1.0813482748959764,30
