method,scene,target_workers,seed,calibration_tasks,threshold_policy,gate_threshold,clean_acceptance,clean_retained,clean_total
RPPS-TDC,Climate,27,20260810,20,native-fixed,0.3,0.6286231884057971,347,552
RPPS-TDC,Climate,27,20260816,20,native-fixed,0.3,0.6413043478260869,354,552
RPPS-TDC,Climate,27,20260822,20,native-fixed,0.3,0.6612318840579711,365,552
RPPS-TDC,Climate,27,20260828,20,native-fixed,0.3,0.5905797101449275,326,552
RPPS-TDC,Climate,27,20260834,20,native-fixed,0.3,0.5869565217391305,324,552
RPPS-TDC,Traffic,27,20260810,20,native-fixed,0.3,0.5907534246575342,345,584
RPPS-TDC,Traffic,27,20260816,20,native-fixed,0.3,0.5702054794520548,333,584
RPPS-TDC,Traffic,27,20260822,20,native-fixed,0.3,0.5976027397260274,349,584
RPPS-TDC,Traffic,27,20260828,20,native-fixed,0.3,0.6232876712328768,364,584
RPPS-TDC,Traffic,27,20260834,20,native-fixed,0.3,0.559931506849315,327,584
RPPS-TDC,Water,27,20260810,20,native-fixed,0.3,0.4096638655462185,195,476
RPPS-TDC,Water,27,20260816,20,native-fixed,0.3,0.40756302521008403,194,476
RPPS-TDC,Water,27,20260822,20,native-fixed,0.3,0.46008403361344535,219,476
RPPS-TDC,Water,27,20260828,20,native-fixed,0.3,0.38235294117647056,182,476
RPPS-TDC,Water,27,20260834,20,native-fixed,0.3,0.4054621848739496,193,476
