method,scene,target_workers,seed,calibration_tasks,threshold_policy,gate_threshold,clean_acceptance,clean_retained,clean_total
RPPS-TDC,Climate,27,20260811,20,native-fixed,0.3,0.6177536231884058,341,552
RPPS-TDC,Climate,27,20260817,20,native-fixed,0.3,0.6195652173913043,342,552
RPPS-TDC,Climate,27,20260823,20,native-fixed,0.3,0.5706521739130435,315,552
RPPS-TDC,Climate,27,20260829,20,native-fixed,0.3,0.5797101449275363,320,552
RPPS-TDC,Climate,27,20260835,20,native-fixed,0.3,0.5851449275362319,323,552
RPPS-TDC,Traffic,27,20260811,20,native-fixed,0.3,0.4828767123287671,282,584
RPPS-TDC,Traffic,27,20260817,20,native-fixed,0.3,0.6643835616438356,388,584
RPPS-TDC,Traffic,27,20260823,20,native-fixed,0.3,0.5667808219178082,331,584
RPPS-TDC,Traffic,27,20260829,20,native-fixed,0.3,0.6335616438356164,370,584
RPPS-TDC,Traffic,27,20260835,20,native-fixed,0.3,0.5924657534246576,346,584
RPPS-TDC,Water,27,20260811,20,native-fixed,0.3,0.3697478991596639,176,476
RPPS-TDC,Water,27,20260817,20,native-fixed,0.3,0.4264705882352941,203,476
RPPS-TDC,Water,27,20260823,20,native-fixed,0.3,0.4180672268907563,199,476
RPPS-TDC,Water,27,20260829,20,native-fixed,0.3,0.3907563025210084,186,476
RPPS-TDC,Water,27,20260835,20,native-fixed,0.3,0.41386554621848737,197,476
