method,target_workers,malicious_ratio,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
CRH-N,27,0.0,Climate,20260808,80,0,0.007022305981117886,227.50727386975313,1.1889408309794771,201.72329802195588,400,0.004189960018042501,0.754167212675268,0.0029723520774486926,0.5043082450548897,0.0
CRH-N,27,0.0,Climate,20260809,80,0,0.008590984020927027,303.69633060616496,1.3532505770115417,234.8028398027144,400,0.00463437806531983,0.8713442640629548,0.0033831264425288545,0.587007099506786,0.0
CRH-N,27,0.0,Climate,20260810,80,0,0.007499089750590068,268.39172643156803,1.2826426880191741,227.9528569149525,400,0.004329864244578018,0.8191332712562224,0.003206606720047935,0.5698821422873812,0.0
CRH-N,27,0.0,Climate,20260811,80,0,0.007463147101030782,263.7074857433594,1.2712820932628772,220.53544416643157,400,0.004319475402473888,0.8119536405229049,0.003178205233157193,0.5513386104160789,0.0
CRH-N,27,0.0,Climate,20260812,80,0,0.008589387461691756,325.2108085737357,1.3722745267554939,243.10132620361375,400,0.004633947415997444,0.9016801103686047,0.0034306863168887345,0.6077533155090343,0.0
CRH-N,27,0.0,Climate,20260813,80,0,0.007172884260743364,292.0510176539843,1.244724121817234,228.70635971140322,400,0.004234644099786712,0.8544750108311892,0.003111810304543085,0.5717658992785081,0.0
CRH-N,27,0.0,Climate,20260814,80,0,0.007990263833405491,239.26941127857208,1.2546855059199409,214.21007444848226,400,0.004469413785219906,0.7734167881526947,0.003136713764799852,0.5355251861212057,0.0
CRH-N,27,0.0,Climate,20260815,80,0,0.00684394414334786,266.50608822741356,1.1986439063965137,213.01730062653883,400,0.004136406696441931,0.8162507093831735,0.002996609765991284,0.5325432515663471,0.0
CRH-N,27,0.0,Climate,20260816,80,0,0.00890112819994271,292.0359250318661,1.3466603493912426,233.7820020844742,400,0.00471728952894104,0.8544529317520452,0.0033666508734781064,0.5844550052111854,0.0
CRH-N,27,0.0,Climate,20260817,80,0,0.008071943476108259,250.90586917678633,1.2613743188538107,217.61092778386578,400,0.0044921997607264355,0.7920004248369857,0.003153435797134527,0.5440273194596644,0.0
CRH-N,27,0.0,Climate,20260818,80,0,0.007627959941884384,295.52105910907494,1.2517328886324763,228.68082243674382,400,0.004366909645814871,0.8595362981123528,0.0031293322215811908,0.5717020560918595,0.0
CRH-N,27,0.0,Climate,20260819,80,0,0.006490238946535464,241.25893516968424,1.2053008150200346,216.23818760340328,400,0.004028100962778697,0.7766256098817568,0.0030132520375500864,0.5405954690085082,0.0
CRH-N,27,0.0,Climate,20260820,80,0,0.007024556918573668,289.56747540405865,1.2599783434950242,230.15330820538043,400,0.004190631491366685,0.8508341133911749,0.0031499458587375606,0.5753832705134511,0.0
CRH-N,27,0.0,Climate,20260821,80,0,0.00841220408222237,276.49821466224336,1.313838731840773,224.20996218748368,400,0.004585903423051551,0.8314117732240797,0.003284596829601932,0.5605249054687093,0.0
CRH-N,27,0.0,Climate,20260822,80,0,0.007853727077320582,251.76484083203798,1.245460803737231,215.0375835410964,400,0.00443106281757565,0.793354966002038,0.0031136520093430777,0.537593958852741,0.0
CRH-N,27,0.0,Climate,20260823,80,0,0.0066001060688933,255.12974804206667,1.2264205946822626,221.69591377140074,400,0.004062051842632397,0.7986390737405519,0.0030660514867056564,0.5542397844285019,0.0
CRH-N,27,0.0,Climate,20260824,80,0,0.007236789369576235,276.1071253050469,1.292485610256186,235.68411203139968,400,0.004253466048288218,0.8308235752929843,0.0032312140256404646,0.5892102800784992,0.0
CRH-N,27,0.0,Climate,20260825,80,0,0.006848507425591523,268.02288530634263,1.2508372614926777,226.4587691853588,400,0.0041377854661616776,0.8185702250056842,0.003127093153731694,0.566146922963397,0.0
CRH-N,27,0.0,Climate,20260826,80,0,0.006974802747756913,248.2690137101283,1.2200194329394842,214.43296146463072,400,0.004175764225790565,0.787827731344436,0.0030500485823487106,0.5360824036615768,0.0
