method,scene,target_workers,seed,calibration_tasks,threshold_policy,gate_threshold,clean_acceptance,clean_retained,clean_total
RPPS-TDC,Climate,27,20260812,20,native-fixed,0.3,0.5742753623188406,317,552
RPPS-TDC,Climate,27,20260818,20,native-fixed,0.3,0.5670289855072463,313,552
RPPS-TDC,Climate,27,20260824,20,native-fixed,0.3,0.6322463768115942,349,552
RPPS-TDC,Climate,27,20260830,20,native-fixed,0.3,0.5833333333333334,322,552
RPPS-TDC,Climate,27,20260836,20,native-fixed,0.3,0.6141304347826086,339,552
RPPS-TDC,Traffic,27,20260812,20,native-fixed,0.3,0.6626712328767124,387,584
RPPS-TDC,Traffic,27,20260818,20,native-fixed,0.3,0.5856164383561644,342,584
RPPS-TDC,Traffic,27,20260824,20,native-fixed,0.3,0.6198630136986302,362,584
RPPS-TDC,Traffic,27,20260830,20,native-fixed,0.3,0.6352739726027398,371,584
RPPS-TDC,Traffic,27,20260836,20,native-fixed,0.3,0.6421232876712328,375,584
RPPS-TDC,Water,27,20260812,20,native-fixed,0.3,0.38235294117647056,182,476
RPPS-TDC,Water,27,20260818,20,native-fixed,0.3,0.32983193277310924,157,476
RPPS-TDC,Water,27,20260824,20,native-fixed,0.3,0.4726890756302521,225,476
RPPS-TDC,Water,27,20260830,20,native-fixed,0.3,0.42016806722689076,200,476
RPPS-TDC,Water,27,20260836,20,native-fixed,0.3,0.31932773109243695,152,476
