method,mode,scene,seed,honest_report_acceptance
IRPP-TD,independent,Climate,20260818,0.9986531986531987
IRPP-TD,independent,Climate,20260819,0.9959758551307847
IRPP-TD,independent,Climate,20260820,0.9979865771812081
IRPP-TD,independent,Climate,20260821,0.998
IRPP-TD,independent,Climate,20260822,0.9986657771847899
IRPP-TD,independent,Climate,20260823,0.9966799468791501
IRPP-TD,independent,Climate,20260824,0.9973297730307076
IRPP-TD,independent,Climate,20260825,0.9952988582941572
IRPP-TD,independent,Climate,20260826,0.9979865771812081
IRPP-TD,independent,Climate,20260827,0.9986639946559787
IRPP-TD,independent,Climate,20260828,0.9966329966329966
IRPP-TD,independent,Climate,20260829,0.9938983050847457
IRPP-TD,independent,Climate,20260830,0.9979825151311366
IRPP-TD,independent,Climate,20260831,0.9993284083277367
IRPP-TD,independent,Climate,20260832,0.9979892761394102
IRPP-TD,independent,Climate,20260833,0.9966420416386836
IRPP-TD,independent,Climate,20260834,0.99933818663137
IRPP-TD,independent,Climate,20260835,0.998
IRPP-TD,independent,Climate,20260836,0.9945982444294396
IRPP-TD,independent,Climate,20260837,0.9993346640053227
IRPP-TD,independent,Traffic,20260808,0.9987317691819911
IRPP-TD,independent,Traffic,20260809,1.0
IRPP-TD,independent,Traffic,20260810,0.9980867346938775
IRPP-TD,independent,Traffic,20260811,0.9967948717948718
IRPP-TD,independent,Traffic,20260812,0.9955442393380013
IRPP-TD,independent,Traffic,20260813,0.9993670886075949
IRPP-TD,independent,Traffic,20260814,0.994256541161455
IRPP-TD,independent,Traffic,20260815,0.9987244897959183
IRPP-TD,independent,Traffic,20260816,0.9955470737913485
IRPP-TD,independent,Traffic,20260817,0.9987293519695044
IRPP-TD,independent,Traffic,20260818,0.9936467598475223
IRPP-TD,independent,Traffic,20260819,0.9949238578680203
IRPP-TD,independent,Traffic,20260820,0.9968474148802018
IRPP-TD,independent,Traffic,20260821,0.9993654822335025
IRPP-TD,independent,Traffic,20260822,0.9987357774968394
IRPP-TD,independent,Traffic,20260823,0.9974715549936789
IRPP-TD,independent,Traffic,20260824,0.9987317691819911
IRPP-TD,independent,Traffic,20260825,0.9968193384223919
IRPP-TD,independent,Traffic,20260826,1.0
IRPP-TD,independent,Traffic,20260827,0.9987293519695044
IRPP-TD,independent,Traffic,20260828,1.0
IRPP-TD,independent,Traffic,20260829,0.9974731522425774
IRPP-TD,independent,Traffic,20260830,0.9974667511082964
IRPP-TD,independent,Traffic,20260831,0.9961832061068703
IRPP-TD,independent,Traffic,20260832,0.9974457215836526
IRPP-TD,independent,Traffic,20260833,0.9968091895341417
IRPP-TD,independent,Traffic,20260834,0.9993658845909955
IRPP-TD,independent,Traffic,20260835,0.9993714644877436
IRPP-TD,independent,Traffic,20260836,0.9981024667931688
IRPP-TD,independent,Traffic,20260837,0.9936708860759493
IRPP-TD,independent,Water,20260808,0.9749518304431599
IRPP-TD,independent,Water,20260809,0.9872773536895675
IRPP-TD,independent,Water,20260810,0.9867424242424242
IRPP-TD,independent,Water,20260811,0.9936020473448497
IRPP-TD,independent,Water,20260812,0.9854060913705583
IRPP-TD,independent,Water,20260813,0.9917144678138942
IRPP-TD,independent,Water,20260814,0.9659090909090909
IRPP-TD,independent,Water,20260815,0.9892676767676768
IRPP-TD,independent,Water,20260816,0.9878361075544174
IRPP-TD,independent,Water,20260817,0.990506329113924
IRPP-TD,independent,Water,20260818,0.9905123339658444
IRPP-TD,independent,Water,20260819,0.9644895370957515
IRPP-TD,independent,Water,20260820,0.9929712460063898
IRPP-TD,independent,Water,20260821,0.975609756097561
IRPP-TD,independent,Water,20260822,0.9847231063017187
IRPP-TD,independent,Water,20260823,0.9974538510502864
IRPP-TD,independent,Water,20260824,0.9543147208121827
IRPP-TD,independent,Water,20260825,0.9878361075544174
IRPP-TD,independent,Water,20260826,0.9814932992980216
IRPP-TD,independent,Water,20260827,0.9855254877281309
IRPP-TD,independent,Water,20260828,0.9942528735632183
IRPP-TD,independent,Water,20260829,0.967453733248245
IRPP-TD,independent,Water,20260830,0.9803921568627451
IRPP-TD,independent,Water,20260831,0.9821996185632549
IRPP-TD,independent,Water,20260832,0.9739517153748412
IRPP-TD,independent,Water,20260833,0.9783301465901848
IRPP-TD,independent,Water,20260834,0.9936748893105629
IRPP-TD,independent,Water,20260835,0.9771573604060914
IRPP-TD,independent,Water,20260836,0.9796048438495857
IRPP-TD,independent,Water,20260837,0.9936427209154481
IRPP-TD,mature_anchor,Climate,20260808,0.9441441441441442
IRPP-TD,mature_anchor,Climate,20260809,0.9727112676056338
IRPP-TD,mature_anchor,Climate,20260810,0.9562109025915997
IRPP-TD,mature_anchor,Climate,20260811,0.9557761732851986
IRPP-TD,mature_anchor,Climate,20260812,0.966934763181412
IRPP-TD,mature_anchor,Climate,20260813,0.9697508896797153
IRPP-TD,mature_anchor,Climate,20260814,0.9639401934916447
IRPP-TD,mature_anchor,Climate,20260815,0.9767025089605734
IRPP-TD,mature_anchor,Climate,20260816,0.9590747330960854
IRPP-TD,mature_anchor,Climate,20260817,0.9593998234774934
IRPP-TD,mature_anchor,Climate,20260818,0.9605381165919282
IRPP-TD,mature_anchor,Climate,20260819,0.9665492957746479
IRPP-TD,mature_anchor,Climate,20260820,0.9554140127388535
IRPP-TD,mature_anchor,Climate,20260821,0.9561717352415027
IRPP-TD,mature_anchor,Climate,20260822,0.9673721340388007
IRPP-TD,mature_anchor,Climate,20260823,0.9755244755244755
IRPP-TD,mature_anchor,Climate,20260824,0.9543459174714662
IRPP-TD,mature_anchor,Climate,20260825,0.9652406417112299
IRPP-TD,mature_anchor,Climate,20260826,0.9507609668755596
IRPP-TD,mature_anchor,Climate,20260827,0.9659498207885304
IRPP-TD,mature_anchor,Climate,20260828,0.9561324977618622
IRPP-TD,mature_anchor,Climate,20260829,0.957619477006312
IRPP-TD,mature_anchor,Climate,20260830,0.9623137598597721
IRPP-TD,mature_anchor,Climate,20260831,0.975177304964539
IRPP-TD,mature_anchor,Climate,20260832,0.960644007155635
IRPP-TD,mature_anchor,Climate,20260833,0.9592760180995475
IRPP-TD,mature_anchor,Climate,20260834,0.9754170324846356
IRPP-TD,mature_anchor,Climate,20260835,0.9725906277630415
IRPP-TD,mature_anchor,Climate,20260836,0.9686660698299016
IRPP-TD,mature_anchor,Climate,20260837,0.9753954305799648
IRPP-TD,mature_anchor,Traffic,20260808,0.9654901960784313
IRPP-TD,mature_anchor,Traffic,20260809,0.9770206022187005
IRPP-TD,mature_anchor,Traffic,20260810,0.9537848605577689
IRPP-TD,mature_anchor,Traffic,20260811,0.9654895666131621
IRPP-TD,mature_anchor,Traffic,20260812,0.9771112865035517
IRPP-TD,mature_anchor,Traffic,20260813,0.9724192277383766
IRPP-TD,mature_anchor,Traffic,20260814,0.9676400947119179
IRPP-TD,mature_anchor,Traffic,20260815,0.962992125984252
IRPP-TD,mature_anchor,Traffic,20260816,0.9779874213836478
IRPP-TD,mature_anchor,Traffic,20260817,0.9676910953506698
IRPP-TD,mature_anchor,Traffic,20260818,0.9701492537313433
IRPP-TD,mature_anchor,Traffic,20260819,0.9671618451915559
IRPP-TD,mature_anchor,Traffic,20260820,0.9707971586424625
IRPP-TD,mature_anchor,Traffic,20260821,0.9746634996041171
IRPP-TD,mature_anchor,Traffic,20260822,0.97639653815893
IRPP-TD,mature_anchor,Traffic,20260823,0.9819324430479183
IRPP-TD,mature_anchor,Traffic,20260824,0.9716535433070866
IRPP-TD,mature_anchor,Traffic,20260825,0.9731225296442688
IRPP-TD,mature_anchor,Traffic,20260826,0.9715864246250987
IRPP-TD,mature_anchor,Traffic,20260827,0.9643705463182898
IRPP-TD,mature_anchor,Traffic,20260828,0.9715639810426541
IRPP-TD,mature_anchor,Traffic,20260829,0.9796716184519155
IRPP-TD,mature_anchor,Traffic,20260830,0.9607843137254902
IRPP-TD,mature_anchor,Traffic,20260831,0.9660347551342812
IRPP-TD,mature_anchor,Traffic,20260832,0.9673826571201273
IRPP-TD,mature_anchor,Traffic,20260833,0.9660079051383399
IRPP-TD,mature_anchor,Traffic,20260834,0.971025841816758
IRPP-TD,mature_anchor,Traffic,20260835,0.9742790335151987
IRPP-TD,mature_anchor,Traffic,20260836,0.9696734059097978
IRPP-TD,mature_anchor,Traffic,20260837,0.9773260359655981
IRPP-TD,mature_anchor,Water,20260808,0.9596330275229358
IRPP-TD,mature_anchor,Water,20260809,0.9735883424408015
IRPP-TD,mature_anchor,Water,20260810,0.9692028985507246
IRPP-TD,mature_anchor,Water,20260811,0.9565217391304348
IRPP-TD,mature_anchor,Water,20260812,0.9533213644524237
IRPP-TD,mature_anchor,Water,20260813,0.9658356417359187
IRPP-TD,mature_anchor,Water,20260814,0.9466192170818505
IRPP-TD,mature_anchor,Water,20260815,0.9182389937106918
IRPP-TD,mature_anchor,Water,20260816,0.9575045207956601
IRPP-TD,mature_anchor,Water,20260817,0.9785138764547896
IRPP-TD,mature_anchor,Water,20260818,0.9508644222020018
IRPP-TD,mature_anchor,Water,20260819,0.9165170556552962
IRPP-TD,mature_anchor,Water,20260820,0.9713518352730528
IRPP-TD,mature_anchor,Water,20260821,0.9689497716894977
IRPP-TD,mature_anchor,Water,20260822,0.9518619436875567
IRPP-TD,mature_anchor,Water,20260823,0.9761467889908257
IRPP-TD,mature_anchor,Water,20260824,0.9245454545454546
IRPP-TD,mature_anchor,Water,20260825,0.9556159420289855
IRPP-TD,mature_anchor,Water,20260826,0.9447513812154696
IRPP-TD,mature_anchor,Water,20260827,0.9567177637511272
IRPP-TD,mature_anchor,Water,20260828,0.9237749546279492
IRPP-TD,mature_anchor,Water,20260829,0.9690627843494085
IRPP-TD,mature_anchor,Water,20260830,0.9417040358744395
IRPP-TD,mature_anchor,Water,20260831,0.9566395663956639
IRPP-TD,mature_anchor,Water,20260832,0.9323104693140795
IRPP-TD,mature_anchor,Water,20260833,0.9572338489535942
IRPP-TD,mature_anchor,Water,20260834,0.9558955895589559
IRPP-TD,mature_anchor,Water,20260835,0.9621280432822362
IRPP-TD,mature_anchor,Water,20260836,0.972875226039783
IRPP-TD,mature_anchor,Water,20260837,0.9724444444444444
IRPP-TD,onoff,Climate,20260808,0.9624161073825503
IRPP-TD,onoff,Climate,20260809,0.9431216931216931
IRPP-TD,onoff,Climate,20260810,0.9586666666666667
IRPP-TD,onoff,Climate,20260811,0.9374167776298269
