mode,error_ratio,error_ratio_ci_low,error_ratio_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high,malicious_report_leakage,malicious_report_leakage_ci_low,malicious_report_leakage_ci_high,honest_false_low_rate,honest_false_low_rate_ci_low,honest_false_low_rate_ci_high
compact,1.2087123087683247,1.1975300539246223,1.220245515683171,30,0.0,0.0,0.0,0.0,0.0,0.0,0.001352623713548987,0.0011538027345417627,0.0015491780989080443
independent,1.2087123087683247,1.1972371168569493,1.2201076087002154,30,0.0,0.0,0.0,0.0,0.0,0.0,0.001352623713548987,0.0011644087571969402,0.0015498874184719695
mature_anchor,50.74873546514292,44.06893082425367,58.31064243667798,30,0.0001851851851851852,0.0,0.0005555555555555556,0.20607594888168676,0.1984394061100762,0.21329389359940606,0.03021073982282828,0.028527823735647773,0.031806124593632655
onoff,63.103950325567524,53.804020603124435,72.86184813648268,30,0.0,0.0,0.0,0.24939387206605976,0.2375228957325004,0.26112356758237976,0.035751618396419896,0.03358203657070803,0.0381796178729043
