mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio,malicious_report_leakage,honest_false_low_rate
independent,Climate,20260808,80,0,0.0022934744715558952,136.22065050472764,0.6913716841874937,143.95261411533878,400,0.002394511678587043,0.5835680133984548,0.0017284292104687343,0.35988153528834693,0.0,0.0019481527909810594,1.2291190350533052,0.0,0.002025658338960162
independent,Climate,20260809,80,0,0.002445967311925046,150.2570758341717,0.6976295108775012,147.25863488250138,400,0.002472836080255344,0.6128969649014663,0.0017440737771937532,0.3681465872062535,0.0,0.0019968286890764096,1.2383816868131545,0.0,0.0026455026455026454
independent,Climate,20260810,80,0,0.0022736087277720456,138.20282131027324,0.6809366647483364,144.6941141228369,400,0.0023841186672290695,0.5877984801576839,0.001702341661870841,0.36173528530709226,0.0,0.0020584007460054073,1.1582383420020421,0.0,0.0013468013468013469
independent,Climate,20260811,80,0,0.0021966430837053533,145.12326371017753,0.6726194991049071,145.21446317470065,400,0.002343417954455283,0.6023355869243023,0.0016815487477622678,0.36303615793675165,0.0,0.0019880328051531397,1.1787622157848485,0.0,0.0020107238605898124
independent,Climate,20260812,80,0,0.002399842449286826,155.79533405747108,0.676813606259242,146.7081802013516,400,0.0024494093417020083,0.6240900056431585,0.001692034015648105,0.36677045050337903,0.0,0.0019840546558993403,1.234547311697787,0.0,0.0020242914979757085
independent,Climate,20260813,80,0,0.002534592919419585,174.23414926781018,0.6977657066124066,153.50687726868452,400,0.0025172370366234806,0.6599889189748003,0.0017444142665310163,0.3837671931717113,0.0,0.002061262997167671,1.2212109954345234,0.0,0.0019973368841544607
independent,Climate,20260814,80,0,0.0022449196439657104,139.10574276796524,0.6765408117905718,144.39908323513777,400,0.002369029149232714,0.5897154881126263,0.0016913520294764295,0.3609977080878444,0.0,0.0019801103333197015,1.1964126995191124,0.0,0.0053085600530856005
independent,Climate,20260815,80,0,0.001891950161936175,117.53229781482791,0.6122090238748926,131.27768946857404,400,0.0021748276724468164,0.5420615689541823,0.0015305225596872315,0.3281942236714351,0.0,0.0017473001781184133,1.244678905022941,0.0,0.002012072434607646
independent,Climate,20260816,80,0,0.0022265861377372066,142.69273415147782,0.6624511255179251,143.03274736754793,400,0.0023593357845679824,0.59727032018902,0.0016561278137948126,0.3575818684188698,0.0,0.001878054803517177,1.2562656745423368,0.0,0.0019880715705765406
independent,Climate,20260817,80,0,0.0016918180046388168,108.24562814420104,0.5826878944309855,127.52308972483978,400,0.0020565857656798664,0.5202057961619638,0.0014567197360774637,0.31880772431209947,0.0,0.0018598836712683923,1.1057604287032254,0.0,0.0006697923643670462
independent,Climate,20260818,80,0,0.002451874649721669,167.09829694200826,0.7345669984148937,161.82461091854486,400,0.0024758203941934423,0.6463325323353457,0.0018364174960372342,0.40456152729636213,0.0,0.001953024804082111,1.2676850744642931,0.0,0.0013468013468013469
independent,Climate,20260819,80,0,0.0019929650017151174,128.2071639305981,0.6276509058223761,138.40193046835313,400,0.002232131829504654,0.5661430118145903,0.0015691272645559403,0.3460048261708828,0.0,0.0019062805142307747,1.1709356586511441,0.0,0.004024144869215292
independent,Climate,20260820,80,0,0.0022255749691018796,139.62558669140174,0.6456915063945518,141.00674011612006,400,0.002358799996344476,0.5908163561788928,0.0016142287659863795,0.35251685029030017,0.0,0.0019472088027117978,1.211374965570961,0.0,0.0020134228187919465
independent,Climate,20260821,80,0,0.0025489732985060787,169.86693972740238,0.7069214967737351,154.22991389536654,400,0.0025243678904361775,0.6516650591511762,0.0017673037419343376,0.38557478473841633,0.0,0.0020580667393795054,1.2265724148465948,0.0,0.002
independent,Climate,20260822,80,0,0.002188819410625324,139.6852427991099,0.6706843764093234,144.94407709377546,400,0.002339241015065209,0.5909425581203089,0.0016767109410233086,0.36236019273443865,0.0,0.001998695327269346,1.1703839915717034,0.0,0.00133422281521014
independent,Climate,20260823,80,0,0.002078427959642222,138.2491122392394,0.637743822012892,136.45320089973734,400,0.0022794889556884356,0.5878969132408322,0.00159435955503223,0.34113300224934334,0.0,0.001863840069999376,1.2230067334528325,0.0,0.00199203187250996
independent,Climate,20260824,80,0,0.0022259278818627356,144.85385055613133,0.6606373092728194,142.13190254179617,400,0.002358987008157705,0.6017762261757508,0.0016515932731820484,0.35532975635449043,0.0,0.0019144523294890746,1.2321993981366288,0.0,0.0026702269692923898
independent,Climate,20260825,80,0,0.0022627977570774042,138.3984734639154,0.6888006585601597,144.95605287767037,400,0.0023784436913018374,0.5882144027986635,0.0017220016464003993,0.36239013219417593,0.0,0.0019477818960980087,1.2211037057416816,0.0,0.004029550033579583
independent,Climate,20260826,80,0,0.002345553112618398,136.23263865559434,0.6634856625021595,138.10173640789628,400,0.0024215455357159805,0.5835936913975217,0.0016587141562553987,0.34525434101974073,0.0,0.0020009129085880656,1.2102203575790473,0.0,0.0020134228187919465
independent,Climate,20260827,80,0,0.002480574582946271,147.20664968686756,0.7104698784451917,148.54141690883554,400,0.002490268350472631,0.6066437374746144,0.0017761746961129793,0.37135354227208883,0.0,0.00206380003317094,1.2066422669091832,0.0,0.0013360053440213762
independent,Climate,20260828,80,0,0.002467072721415049,157.37069382802886,0.7133091854745917,155.3876022833435,400,0.0024834817904582315,0.6272373829500855,0.0017832729636864792,0.3884690057083588,0.0,0.002031616303505488,1.222416745806314,0.0,0.003367003367003367
independent,Climate,20260829,80,0,0.0020641097406746164,131.58714566834323,0.6572316241875479,142.0608102469491,400,0.002271623725815202,0.5735572021785256,0.0016430790604688697,0.35515202561737275,0.0,0.0019822937583461936,1.1459571601084966,0.0,0.005423728813559322
independent,Climate,20260830,80,0,0.0020814905867631668,129.5573384998441,0.6381145198751392,135.01560746900617,400,0.002281167785786025,0.5691162853491457,0.0015952862996878481,0.3375390186725154,0.0,0.0020096127982258327,1.1351280146105418,0.0,0.0020174848688634837
independent,Climate,20260831,80,0,0.002125459117092279,137.28179214486892,0.6535860535174545,141.1006541994783,400,0.0023051350920782706,0.5858365645486566,0.0016339651337936361,0.35275163549869576,0.0,0.001933587400817699,1.1921545884625888,0.0,0.000671591672263264
independent,Climate,20260832,80,0,0.0023515475639657455,139.70566908936866,0.6741686964585561,141.44444933121792,400,0.0024246378925345457,0.59098576355393,0.0016854217411463905,0.3536111233280448,0.0,0.0019970603315001357,1.2141034771409362,0.0,0.0013404825737265416
independent,Climate,20260833,80,0,0.0022914490871298095,137.41943798453562,0.6664195297968697,140.7698445975835,400,0.0023934541394863874,0.5861301860178667,0.0016660488244921742,0.35192461149395876,0.0,0.0019413806726848854,1.2328618354772714,0.0,0.002686366689053056
independent,Climate,20260834,80,0,0.0020278429947922665,125.36486331226611,0.6591882521464032,140.64268707820372,400,0.002251578887576597,0.5598322590568225,0.001647970630366008,0.35160671769550933,0.0,0.0018470680112819765,1.2190016143552103,0.0,0.0006618133686300463
independent,Climate,20260835,80,0,0.0024208677230760436,161.1693754589077,0.6867037228472831,149.28822173432437,400,0.002460115710223832,0.6347625057037233,0.0017167593071182078,0.3732205543358109,0.0,0.0019284724017519352,1.2756810561504128,0.0,0.002
independent,Climate,20260836,80,0,0.002040945701740964,120.11032923499302,0.6416784178618649,136.88775882254873,400,0.002258841352187535,0.5479742905351331,0.0016041960446546621,0.34221939705637183,0.0,0.0018592387752952688,1.2149280566875036,0.0,0.0054017555705604325
independent,Climate,20260837,80,0,0.0022090004232335645,145.76601078557778,0.692055938654703,149.1897871879895,400,0.0023500002251242258,0.6036679774213176,0.0017301398466367576,0.3729744679699738,0.0,0.0017982994474278488,1.3067902726019784,0.0,0.0006653359946773121
independent,Traffic,20260808,80,0,7.596023928547007e-05,2993.3370472410475,0.11119567944849361,523.0767630878972,480,0.0003978071121930778,2.497222226478623,0.000231657665517695,1.0897432564331193,0.0,0.0003247642898073973,1.2249102646999732,0.0,0.0012682308180088776
independent,Traffic,20260809,80,0,8.50039959396855e-05,5723.93395525203,0.11067393309713419,554.4729109800533,480,0.00042082259707349146,3.4532394076830326,0.0002305706939523629,1.155151897875111,0.0,0.000360302070788481,1.1679716304504386,0.0,0.0
independent,Traffic,20260810,80,0,0.00010080329524369867,4105.640328247273,0.12358462053398564,590.5807736944897,480,0.00045826505986278174,2.9246225996725035,0.0002574679594458034,1.2303766118635202,0.0,0.00033390733631958914,1.3724318396651443,0.0,0.0006377551020408163
independent,Traffic,20260811,80,0,9.337431072692591e-05,4269.386365436848,0.12189160234513588,591.1159264221409,480,0.0004410553412151688,2.9823740422679097,0.0002539408382190331,1.2314915133794602,0.0,0.00037516530706326214,1.175629337018617,0.0,0.0019230769230769232
independent,Traffic,20260812,80,0,6.302419266006891e-05,3374.7586124608,0.10762223988270209,512.9871040899402,480,0.0003623539724842872,2.6515556017729165,0.00022421299975562936,1.0687231335207088,0.0,0.0003217664981541475,1.1261395283939586,0.0,0.0006365372374283895
