malicious_ratio,strength,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio
0.0,0.1,Climate,20260808,60,0,0.0010958458949127043,66.25446210588416,0.4203213670650308,88.65437715744723,300,0.0019112351110496621,0.4699448978546462,0.0014010712235501027,0.2955145905248241,0.0,0.0019112351110496621,1.0
0.0,0.1,Climate,20260809,60,0,0.0012116418803025705,72.58582161086973,0.4153631658730894,88.0511776328353,300,0.0020096781502706436,0.49188691658032446,0.0013845438862436314,0.29350392544278436,0.0,0.0020096781502706436,1.0
0.0,0.1,Climate,20260810,60,0,0.001347317923801854,83.6178339471731,0.4564359613293475,98.53870835088186,300,0.0021192120578191745,0.5279451800681996,0.0015214532044311583,0.3284623611696062,0.0,0.0021192120578191745,1.0
0.0,0.1,Climate,20260811,60,0,0.0012579407216868966,91.86536101038891,0.4387604388806727,99.662857079255,300,0.00204771476015492,0.5533695600903882,0.001462534796268909,0.3322095235975167,0.0,0.00204771476015492,1.0
0.0,0.1,Climate,20260812,60,0,0.0011592737321250127,77.9623928902427,0.4152106222366442,90.75329015535794,300,0.001965768494444359,0.5097790138554897,0.0013840354074554806,0.30251096718452647,0.0,0.001965768494444359,1.0
0.0,0.1,Climate,20260813,60,0,0.0012863304240863535,83.72784066124066,0.4313495109326424,93.6428021321485,300,0.0020706926571289726,0.528292345396122,0.001437831703108808,0.31214267377382837,0.0,0.0020706926571289726,1.0
0.0,0.1,Climate,20260814,60,0,0.001209244169153172,80.03523214288843,0.4356975709569172,94.70767001019442,300,0.0020076886952855116,0.5165114782296338,0.0014523252365230574,0.3156922333673147,0.0,0.0020076886952855116,1.0
0.0,0.1,Climate,20260815,60,0,0.0008747067567253442,52.81547861004592,0.3573525349897933,74.7117916523307,300,0.0017075389275458645,0.41958502757703325,0.0011911751166326443,0.249039305507769,0.0,0.0017075389275458645,1.0
0.0,0.1,Climate,20260816,60,0,0.0010627457486438578,74.72188228607047,0.3990989977709577,89.24149924165036,300,0.0018821492578466935,0.49907207991788943,0.001330329992569859,0.2974716641388345,0.0,0.0018821492578466937,0.9999999999999999
0.0,0.1,Climate,20260817,60,0,0.0011180968879296236,70.70080268027688,0.4030822684367987,87.93730762130285,300,0.0019305412780958812,0.4854578686843891,0.0013436075614559955,0.29312435873767617,0.0,0.0019305412780958812,1.0
