protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run
RPPS-TDC,20,9,256,2026281004,normal,5323.274317,0.0,5323.274317,3631.589469,200.350532,1386.35799,104.384094,0.0,939.745286,4383.529031,309328,6912.0,8,16,True,4
PRTD,20,9,256,2026281004,normal,10418.021036,0.0,10418.021036,7023.348995,2005.522853,1305.960653,81.856067,0.0,381.304317,10036.716719,357300,7808.0,8,20,True,4
BSIF,20,9,256,2026281005,normal,5078.8713,0.0,5078.8713,3620.143745,1060.254273,398.351251,0.0,0.0,0.085341,5078.785959,310944,7324.0,1,20,True,5
RPPS-TDC,20,9,256,2026281005,normal,5277.177842,0.0,5277.177842,3584.878572,200.714907,1386.551111,104.451704,0.0,940.534388,4336.643454,309328,6912.0,8,16,True,5
PRTD,20,9,256,2026281005,normal,10341.7775,0.0,10341.7775,6992.199104,1977.611575,1290.166972,80.533061,0.0,375.432018,9966.345482,357300,7808.0,8,20,True,5
IRPP-TD,20,9,256,2026281005,normal,32.633842,0.0,32.633842,24.6297,1.095805,6.72047,0.0,0.0,3.133997,29.499845,211480,1568.0,7,20,True,5
RPPS-TDC,20,9,256,2026281006,normal,5345.209686,0.0,5345.209686,3632.579062,205.644612,1400.901948,105.487599,0.0,951.251842,4393.9578440000005,309328,6912.0,8,16,True,6
PRTD,20,9,256,2026281006,normal,10373.343958,0.0,10373.343958,7002.015565,1991.868171,1295.505327,82.527452,0.0,376.778006,9996.565951999999,357300,7808.0,8,20,True,6
IRPP-TD,20,9,256,2026281006,normal,32.148408,0.0,32.148408,24.015383,1.126317,6.761261,0.0,0.0,3.224174,28.924234000000002,211480,1568.0,6,20,True,6
BSIF,20,9,256,2026281006,normal,4929.806213,0.0,4929.806213,3617.896818,1029.582784,282.194112,0.0,0.0,0.081722,4929.724491,264480,7324.0,1,14,True,6
PRTD,20,9,256,2026281007,normal,10403.528815,0.0,10403.528815,7038.642794,1989.088812,1294.179989,80.286884,0.0,376.86055,10026.668265,357300,7808.0,8,20,True,7
IRPP-TD,20,9,256,2026281007,normal,32.637742,0.0,32.637742,24.702111,1.122164,6.638888,0.0,0.0,3.090102,29.54764,211480,1568.0,6,20,True,7
BSIF,20,9,256,2026281007,normal,4951.397433,0.0,4951.397433,3629.429041,1038.347887,283.495128,0.0,0.0,0.084993,4951.31244,264480,7324.0,1,14,True,7
RPPS-TDC,20,9,256,2026281007,normal,5279.491312,0.0,5279.491312,3585.053072,200.738686,1388.588438,104.546393,0.0,942.970749,4336.520563,309328,6912.0,8,16,True,7
IRPP-TD,20,9,256,2026281008,normal,32.491114,0.0,32.491114,24.603329,1.116299,6.602583,0.0,0.0,3.00635,29.484764000000002,211480,1568.0,7,20,True,8
BSIF,20,9,256,2026281008,normal,4920.851307,0.0,4920.851307,3608.293133,1031.800801,280.628408,0.0,0.0,0.10207,4920.749237,264480,7324.0,1,14,True,8
RPPS-TDC,20,9,256,2026281008,normal,5337.263392,0.0,5337.263392,3627.053326,203.024881,1400.152324,106.412165,0.0,949.686204,4387.577188,309328,6912.0,8,16,True,8
PRTD,20,9,256,2026281008,normal,10457.608112,0.0,10457.608112,7073.134994,1998.914937,1303.719611,80.318557,0.0,379.430258,10078.177854,357300,7808.0,8,20,True,8
BSIF,20,9,256,2026281009,normal,5089.322195,0.0,5089.322195,3624.176562,1062.814142,402.21165,0.0,0.0,0.084298,5089.237897,310944,7324.0,1,20,True,9
RPPS-TDC,20,9,256,2026281009,normal,5314.131969,0.0,5314.131969,3621.636845,201.186007,1385.703982,105.018318,0.0,940.196047,4373.935922,309328,6912.0,8,16,True,9
PRTD,20,9,256,2026281009,normal,10349.69556,0.0,10349.69556,6994.068926,1981.605536,1292.490769,80.196388,0.0,375.90731,9973.78825,357300,7808.0,8,20,True,9
IRPP-TD,20,9,256,2026281009,normal,33.012897,0.0,33.012897,24.977992,1.126898,6.710694,0.0,0.0,3.115236,29.897661000000003,211480,1568.0,6,20,True,9
RPPS-TDC,20,9,256,2026281010,normal,5283.678955,0.0,5283.678955,3591.056297,200.210946,1387.374934,104.497186,0.0,941.380887,4342.298068,309328,6912.0,8,16,True,10
PRTD,20,9,256,2026281010,normal,10371.756755,0.0,10371.756755,7021.342558,1971.201062,1296.828914,81.051814,0.0,377.007725,9994.74903,357300,7808.0,8,20,True,10
IRPP-TD,20,9,256,2026281010,normal,33.554754,0.0,33.554754,24.93967,1.143142,7.265687,0.0,0.0,3.4118,30.142954000000003,211480,1568.0,6,20,True,10
BSIF,20,9,256,2026281010,normal,5091.264963,0.0,5091.264963,3629.113207,1059.878613,402.124434,0.0,0.0,0.082234,5091.182728999999,310944,7324.0,1,20,True,10
PRTD,20,9,256,2026281011,normal,10482.706877,0.0,10482.706877,7084.015527,2009.913856,1307.020481,80.426718,0.0,380.671079,10102.035798,357300,7808.0,8,20,True,11
IRPP-TD,20,9,256,2026281011,normal,32.036577,0.0,32.036577,24.117613,1.134086,6.611679,0.0,0.0,3.017298,29.019279,211480,1568.0,6,20,True,11
BSIF,20,9,256,2026281011,normal,4945.145036,0.0,4945.145036,3627.437679,1031.896484,285.678953,0.0,0.0,0.124348,4945.020688,264480,7324.0,1,14,True,11
RPPS-TDC,20,9,256,2026281011,normal,5322.344382,0.0,5322.344382,3627.523086,200.648004,1388.926525,104.6341,0.0,942.891848,4379.452534,309328,6912.0,8,16,True,11
IRPP-TD,20,9,256,2026281012,normal,32.381,0.0,32.381,24.533405,1.103702,6.57891,0.0,0.0,2.918031,29.462969,211480,1568.0,6,20,True,12
BSIF,20,9,256,2026281012,normal,4937.876728,0.0,4937.876728,3620.885744,1031.563043,285.28048,0.0,0.0,0.083237,4937.793491,264480,7324.0,1,14,True,12
RPPS-TDC,20,9,256,2026281012,normal,5342.70379,0.0,5342.70379,3630.803008,203.160206,1401.679994,106.410049,0.0,950.298613,4392.405177,309328,6912.0,8,16,True,12
PRTD,20,9,256,2026281012,normal,10455.408133,0.0,10455.408133,7060.355221,2005.922373,1306.112892,81.613297,0.0,379.687468,10075.720665,357300,7808.0,8,20,True,12
BSIF,20,9,256,2026281013,normal,5099.649813,0.0,5099.649813,3628.022333,1065.823269,405.684205,0.0,0.0,0.091741,5099.558072,310944,7324.0,1,20,True,13
RPPS-TDC,20,9,256,2026281013,normal,5338.801204,0.0,5338.801204,3627.993376,200.639888,1404.261513,105.298995,0.0,955.254259,4383.546945,309328,6912.0,8,16,True,13
PRTD,20,9,256,2026281013,normal,10345.709861,0.0,10345.709861,6996.930267,1976.270095,1291.056665,80.167632,0.0,375.502052,9970.207809,357300,7808.0,8,20,True,13
IRPP-TD,20,9,256,2026281013,normal,32.410355,0.0,32.410355,24.652174,1.089755,6.49564,0.0,0.0,2.912706,29.497649000000003,211480,1568.0,6,20,True,13
RPPS-TDC,20,9,256,2026281014,normal,5282.121642,0.0,5282.121642,3588.654143,200.861787,1387.48542,104.589997,0.0,941.575225,4340.546417,309328,6912.0,9,16,True,14
PRTD,20,9,256,2026281014,normal,10379.67295,0.0,10379.67295,7011.824905,1990.060599,1295.879305,80.473981,0.0,375.854309,10003.818641,357300,7808.0,8,20,True,14
IRPP-TD,20,9,256,2026281014,normal,32.58758,0.0,32.58758,24.602953,1.110898,6.692429,0.0,0.0,3.197861,29.389719000000003,211480,1568.0,7,20,True,14
BSIF,20,9,256,2026281014,normal,4949.896948,0.0,4949.896948,3649.423827,1020.736271,279.617546,0.0,0.0,0.082812,4949.814136,264480,7324.0,1,14,True,14
PRTD,20,9,256,2026281015,normal,10435.535205,0.0,10435.535205,7039.494443,2004.35816,1309.624923,80.743875,0.0,381.341695,10054.193510000001,357300,7808.0,8,20,True,15
IRPP-TD,20,9,256,2026281015,normal,32.528346,0.0,32.528346,24.742574,1.08808,6.518198,0.0,0.0,3.105204,29.423142,211480,1568.0,6,20,True,15
BSIF,20,9,256,2026281015,normal,4947.528329,0.0,4947.528329,3619.089101,1042.97037,285.343888,0.0,0.0,0.084021,4947.444308,264480,7324.0,1,14,True,15
RPPS-TDC,20,9,256,2026281015,normal,5325.533378,0.0,5325.533378,3618.036167,201.378155,1400.679943,104.846038,0.0,952.33385,4373.199528,309328,6912.0,8,16,True,15
IRPP-TD,20,9,256,2026281016,normal,34.321665,0.0,34.321665,26.229499,1.110992,6.797397,0.0,0.0,3.170648,31.151017000000003,211480,1568.0,6,20,True,16
BSIF,20,9,256,2026281016,normal,5104.691508,0.0,5104.691508,3638.166948,1062.886745,403.514397,0.0,0.0,0.082881,5104.608627,310944,7324.0,1,20,True,16
RPPS-TDC,20,9,256,2026281016,normal,5332.472797,0.0,5332.472797,3621.519565,201.369794,1402.219477,106.769279,0.0,952.626032,4379.846765,309328,6912.0,8,16,True,16
PRTD,20,9,256,2026281016,normal,10363.117283,0.0,10363.117283,7001.836179,1985.040957,1293.57781,81.363203,0.0,376.326126,9986.791157,357300,7808.0,8,20,True,16
BSIF,20,9,256,2026281017,normal,4961.988078,0.0,4961.988078,3646.370731,1032.427173,283.069137,0.0,0.0,0.08212,4961.905958,264480,7324.0,1,14,True,17
RPPS-TDC,20,9,256,2026281017,normal,5352.588711,0.0,5352.588711,3632.665671,202.205514,1409.691664,107.381418,0.0,956.127865,4396.460846,309328,6912.0,9,16,True,17
PRTD,20,9,256,2026281017,normal,10428.576979,0.0,10428.576979,7052.246647,1992.173423,1301.024325,81.800029,0.0,378.395329,10050.181649999999,357300,7808.0,8,20,True,17
IRPP-TD,20,9,256,2026281017,normal,33.452969,0.0,33.452969,25.250998,1.243691,6.773503,0.0,0.0,3.03168,30.421289,211480,1568.0,7,20,True,17
RPPS-TDC,20,9,256,2026281018,normal,5349.582496,0.0,5349.582496,3634.954001,203.04485,1404.825719,106.181461,0.0,954.54185,4395.040646,309328,6912.0,8,16,True,18
PRTD,20,9,256,2026281018,normal,10424.747649,0.0,10424.747649,7026.882041,2002.42548,1310.345374,83.763444,0.0,380.997224,10043.750425,357300,7808.0,8,20,True,18
IRPP-TD,20,9,256,2026281018,normal,33.402319,0.0,33.402319,25.057702,1.104265,7.037619,0.0,0.0,3.402234,30.000085,211480,1568.0,6,20,True,18
BSIF,20,9,256,2026281018,normal,4943.553556,0.0,4943.553556,3622.220155,1039.988967,281.220616,0.0,0.0,0.081332,4943.472224,264480,7324.0,1,14,True,18
PRTD,20,9,256,2026281019,normal,10341.34299,0.0,10341.34299,6985.447538,1982.437033,1291.19161,80.961341,0.0,375.924313,9965.418677,357300,7808.0,8,20,True,19
IRPP-TD,20,9,256,2026281019,normal,32.746642,0.0,32.746642,24.723015,1.151006,6.666881,0.0,0.0,3.094568,29.652074000000002,211480,1568.0,6,20,True,19
BSIF,20,9,256,2026281019,normal,4900.596129,0.0,4900.596129,3589.518129,1023.28366,287.652935,0.0,0.0,0.086286,4900.509843,264480,7324.0,1,14,True,19
RPPS-TDC,20,9,256,2026281019,normal,5348.633446,0.0,5348.633446,3639.920585,203.263326,1398.944862,105.849345,0.0,949.015895,4399.617550999999,309328,6912.0,8,16,True,19
IRPP-TD,20,9,256,2026281020,normal,33.022126,0.0,33.022126,24.816641,1.104531,6.923821,0.0,0.0,3.32682,29.695306,211480,1568.0,6,20,True,20
BSIF,20,9,256,2026281020,normal,4894.288976,0.0,4894.288976,3594.726948,1020.669813,278.747112,0.0,0.0,0.089557,4894.199419,264480,7324.0,1,14,True,20
RPPS-TDC,20,9,256,2026281020,normal,5314.661387,0.0,5314.661387,3603.031116,203.377741,1402.199327,105.467747,0.0,951.771833,4362.889554,309328,6912.0,8,16,True,20
PRTD,20,9,256,2026281020,normal,10384.62411,0.0,10384.62411,7014.405291,1990.6835,1296.879393,81.259609,0.0,377.540024,10007.084086,357300,7808.0,8,20,True,20
BSIF,20,9,256,2026281021,normal,4962.234364,0.0,4962.234364,3641.596611,1035.226303,285.28597,0.0,0.0,0.082745,4962.151619,264480,7324.0,1,14,True,21
RPPS-TDC,20,9,256,2026281021,normal,5358.904302,0.0,5358.904302,3620.03578,201.346772,1431.074472,105.8387,0.0,980.31772,4378.586582,309328,6912.0,8,16,True,21
PRTD,20,9,256,2026281021,normal,10472.772774,0.0,10472.772774,7080.355598,2004.144954,1305.46373,81.380146,0.0,379.415452,10093.357322,357300,7808.0,8,20,True,21
IRPP-TD,20,9,256,2026281021,normal,33.673233,0.0,33.673233,25.36869,1.137601,6.971942,0.0,0.0,3.260909,30.412324000000005,211480,1568.0,6,20,True,21
RPPS-TDC,20,9,256,2026281022,normal,5353.139878,0.0,5353.139878,3632.729732,202.596682,1411.669522,105.589405,0.0,958.991218,4394.14866,309328,6912.0,8,16,True,22
PRTD,20,9,256,2026281022,normal,10487.095568,0.0,10487.095568,7091.371501,2005.621383,1307.266702,81.422056,0.0,381.397258,10105.69831,357300,7808.0,8,20,True,22
IRPP-TD,20,9,256,2026281022,normal,33.118305,0.0,33.118305,24.879926,1.109108,6.945915,0.0,0.0,3.062625,30.05568,211480,1568.0,6,20,True,22
BSIF,20,9,256,2026281022,normal,4945.431936,0.0,4945.431936,3617.227131,1042.238367,285.849638,0.0,0.0,0.082934,4945.349002,264480,7324.0,1,14,True,22
PRTD,20,9,256,2026281023,normal,10444.717317,0.0,10444.717317,7055.386465,2003.50106,1303.36863,81.133788,0.0,379.530895,10065.186422,357300,7808.0,8,20,True,23
IRPP-TD,20,9,256,2026281023,normal,32.581425,0.0,32.581425,24.813551,1.116198,6.471863,0.0,0.0,2.906541,29.674884000000002,211480,1568.0,6,20,True,23
BSIF,20,9,256,2026281023,normal,5149.425413,0.0,5149.425413,3766.865409,1077.925438,304.485371,0.0,0.0,0.094089,5149.331324,264480,7324.0,1,14,True,23
RPPS-TDC,20,9,256,2026281023,normal,5348.946865,0.0,5348.946865,3634.992075,201.121686,1406.609033,105.599728,0.0,954.229771,4394.717094,309328,6912.0,8,16,True,23
IRPP-TD,20,9,256,2026281024,normal,32.200462,0.0,32.200462,24.224455,1.098685,6.716243,0.0,0.0,3.159149,29.041313000000002,211480,1568.0,7,20,True,24
BSIF,20,9,256,2026281024,normal,5082.699588,0.0,5082.699588,3615.796374,1063.841543,402.93421,0.0,0.0,0.081743,5082.617845000001,310944,7324.0,1,20,True,24
RPPS-TDC,20,9,256,2026281024,normal,5319.746722,0.0,5319.746722,3621.819638,199.702571,1392.647258,104.895616,0.0,946.476725,4373.269996999999,309328,6912.0,8,16,True,24
PRTD,20,9,256,2026281024,normal,10411.930429,0.0,10411.930429,7025.220059,1995.420104,1309.730738,80.222487,0.0,381.199813,10030.730616,357300,7808.0,8,20,True,24
BSIF,20,9,256,2026281025,normal,4951.227003,0.0,4951.227003,3636.853196,1031.398437,282.843507,0.0,0.0,0.09223,4951.134773,264480,7324.0,1,14,True,25
RPPS-TDC,20,9,256,2026281025,normal,5326.394658,0.0,5326.394658,3618.833633,201.49103,1400.269509,105.186951,0.0,950.753747,4375.640911,309328,6912.0,8,16,True,25
PRTD,20,9,256,2026281025,normal,10430.606308,0.0,10430.606308,7051.866077,1995.998602,1301.127592,80.25116,0.0,378.818814,10051.787494,357300,7808.0,8,20,True,25
IRPP-TD,20,9,256,2026281025,normal,32.385852,0.0,32.385852,24.543992,1.096142,6.57451,0.0,0.0,3.011662,29.37419,211480,1568.0,6,20,True,25
RPPS-TDC,20,9,256,2026281026,normal,5343.415523,0.0,5343.415523,3621.172219,204.068776,1411.408996,106.18119,0.0,956.817027,4386.598496,309328,6912.0,8,16,True,26
PRTD,20,9,256,2026281026,normal,10445.074275,0.0,10445.074275,7070.552305,1993.676314,1299.173689,80.236255,0.0,378.955792,10066.118483,357300,7808.0,8,20,True,26
IRPP-TD,20,9,256,2026281026,normal,32.025116,0.0,32.025116,23.951799,1.138314,6.748996,0.0,0.0,3.124065,28.901050999999995,211480,1568.0,6,20,True,26
BSIF,20,9,256,2026281026,normal,5046.88568,0.0,5046.88568,3593.822744,1054.05114,398.879879,0.0,0.0,0.124264,5046.761416,310944,7324.0,1,20,True,26
PRTD,20,9,256,2026281027,normal,10440.633006,0.0,10440.633006,7045.653279,2006.185451,1306.071701,81.298961,0.0,380.432155,10060.200851,357300,7808.0,8,20,True,27
IRPP-TD,20,9,256,2026281027,normal,33.343965,0.0,33.343965,25.128896,1.14788,6.880395,0.0,0.0,3.151008,30.192956999999996,211480,1568.0,6,20,True,27
BSIF,20,9,256,2026281027,normal,5095.855267,0.0,5095.855267,3624.102382,1062.814164,408.78042,0.0,0.0,0.104233,5095.751034,310944,7324.0,1,20,True,27
RPPS-TDC,20,9,256,2026281027,normal,5338.518343,0.0,5338.518343,3628.321551,201.901961,1402.303051,105.359087,0.0,952.439472,4386.078871,309328,6912.0,9,16,True,27
IRPP-TD,20,9,256,2026281028,normal,33.563418,0.0,33.563418,25.291085,1.121095,6.971244,0.0,0.0,3.114399,30.449019,211480,1568.0,6,20,True,28
BSIF,20,9,256,2026281028,normal,4934.550874,0.0,4934.550874,3622.746432,1028.083954,283.587482,0.0,0.0,0.098348,4934.452525999999,264480,7324.0,1,14,True,28
RPPS-TDC,20,9,256,2026281028,normal,5373.872614,0.0,5373.872614,3659.322836,202.615337,1405.419434,105.87744,0.0,951.99813,4421.874484,309328,6912.0,8,16,True,28
PRTD,20,9,256,2026281028,normal,10430.76624,0.0,10430.76624,7072.34979,1983.829118,1293.036099,80.151464,0.0,376.105146,10054.661094000001,357300,7808.0,8,20,True,28
BSIF,20,9,256,2026281029,normal,4918.751581,0.0,4918.751581,3592.420355,1046.748494,279.470793,0.0,0.0,0.082099,4918.669482,264480,7324.0,1,14,True,29
RPPS-TDC,20,9,256,2026281029,normal,5308.572979,0.0,5308.572979,3599.610781,201.414876,1401.747954,105.225718,0.0,951.417428,4357.155551,309328,6912.0,9,16,True,29
PRTD,20,9,256,2026281029,normal,10362.795788,0.0,10362.795788,7005.258454,1981.562071,1293.54423,80.997145,0.0,376.522727,9986.273061,357300,7808.0,8,20,True,29
IRPP-TD,20,9,256,2026281029,normal,32.551913,0.0,32.551913,24.597362,1.0991,6.632128,0.0,0.0,3.006817,29.545096,211480,1568.0,6,20,True,29
IRPP-TD,27,9,256,2026351000,normal,52.529638,0.0,52.529638,42.338596,1.513281,8.457513,0.0,0.0,3.798394,48.731244,321786,1568.0,6,27,True,0
BSIF,27,9,256,2026351000,normal,6863.611322,0.0,6863.611322,4875.695695,1441.774195,545.989011,0.0,0.0,0.08689,6863.524432,419752,7324.0,1,27,True,0
RPPS-TDC,27,9,256,2026351000,normal,7116.994362,0.0,7116.994362,4895.637238,210.004181,1868.028224,142.459109,0.0,1274.912879,5842.081483,415148,6912.0,8,22,True,0
PRTD,27,9,256,2026351000,normal,13401.077906,0.0,13401.077906,9505.082352,2171.689929,1614.846513,107.981716,0.0,377.576227,13023.501679,462832,7808.0,8,27,True,0
BSIF,27,9,256,2026351001,normal,6624.999454,0.0,6624.999454,4856.897766,1386.564712,381.392267,0.0,0.0,0.088383,6624.9110709999995,357800,7324.0,1,19,True,1
RPPS-TDC,27,9,256,2026351001,normal,7084.361749,0.0,7084.361749,4870.384221,207.984281,1863.960074,141.246714,0.0,1275.247457,5809.114292,415148,6912.0,8,22,True,1
PRTD,27,9,256,2026351001,normal,13343.72935,0.0,13343.72935,9456.262458,2165.901315,1611.617095,108.374428,0.0,375.296078,12968.433272,462832,7808.0,8,27,True,1
IRPP-TD,27,9,256,2026351001,normal,52.518052,0.0,52.518052,42.199705,1.568937,8.50989,0.0,0.0,3.78813,48.729921999999995,321786,1568.0,6,27,True,1
RPPS-TDC,27,9,256,2026351002,normal,7074.373481,0.0,7074.373481,4867.473787,207.136736,1857.812632,141.225223,0.0,1272.449177,5801.924304,415148,6912.0,8,22,True,2
PRTD,27,9,256,2026351002,normal,13393.019565,0.0,13393.019565,9475.313413,2184.971612,1621.495233,109.66298,0.0,378.082696,13014.936869000001,462832,7808.0,8,27,True,2
IRPP-TD,27,9,256,2026351002,normal,54.525131,0.0,54.525131,43.719893,1.517176,9.046196,0.0,0.0,4.161072,50.364059000000005,321786,1568.0,6,27,True,2
BSIF,27,9,256,2026351002,normal,6880.881688,0.0,6880.881688,4897.339397,1443.12453,540.269413,0.0,0.0,0.086291,6880.795397000001,419752,7324.0,1,27,True,2
PRTD,27,9,256,2026351003,normal,13293.685524,0.0,13293.685524,9429.227686,2149.024576,1605.81,108.303015,0.0,374.15219,12919.533334,462832,7808.0,8,27,True,3
IRPP-TD,27,9,256,2026351003,normal,57.751692,0.0,57.751692,47.124511,1.670153,8.724309,0.0,0.0,3.781235,53.970456999999996,321786,1568.0,6,27,True,3
BSIF,27,9,256,2026351003,normal,6545.084894,0.0,6545.084894,4812.648572,1358.383894,373.95811,0.0,0.0,0.080462,6545.004432,357800,7324.0,1,19,True,3
RPPS-TDC,27,9,256,2026351003,normal,6984.120223,0.0,6984.120223,4775.045249,208.444221,1858.727677,141.489618,0.0,1271.274529,5712.845694,415148,6912.0,8,22,True,3
IRPP-TD,27,9,256,2026351004,normal,54.953951,0.0,54.953951,44.05261,1.627399,9.035281,0.0,0.0,3.864154,51.089797000000004,321786,1568.0,6,27,True,4
BSIF,27,9,256,2026351004,normal,6665.432717,0.0,6665.432717,4879.830052,1403.07668,382.435143,0.0,0.0,0.097272,6665.335445,357800,7324.0,1,19,True,4
RPPS-TDC,27,9,256,2026351004,normal,7062.245231,0.0,7062.245231,4858.582601,206.982732,1855.131198,141.123528,0.0,1271.314768,5790.930463,415148,6912.0,8,22,True,4
PRTD,27,9,256,2026351004,normal,13246.966492,0.0,13246.966492,9383.349693,2146.320173,1608.315541,107.96543,0.0,374.593393,12872.373099,462832,7808.0,8,27,True,4
BSIF,27,9,256,2026351005,normal,6553.685467,0.0,6553.685467,4804.71304,1371.823036,377.069652,0.0,0.0,0.079607,6553.605860000001,357800,7324.0,1,19,True,5
RPPS-TDC,27,9,256,2026351005,normal,7017.549009,0.0,7017.549009,4820.631011,206.200305,1849.884442,140.399453,0.0,1267.161963,5750.387046,415148,6912.0,8,22,True,5
PRTD,27,9,256,2026351005,normal,13225.362526,0.0,13225.362526,9368.913828,2149.738486,1598.130388,107.587744,0.0,372.796531,12852.565995,462832,7808.0,8,27,True,5
IRPP-TD,27,9,256,2026351005,normal,51.504528,0.0,51.504528,41.534285,1.469548,8.305975,0.0,0.0,3.650752,47.853776,321786,1568.0,6,27,True,5
RPPS-TDC,27,9,256,2026351006,normal,6977.560915,0.0,6977.560915,4792.518743,204.737587,1840.060444,139.849047,0.0,1259.902073,5717.658842,415148,6912.0,8,22,True,6
PRTD,27,9,256,2026351006,normal,13123.068942,0.0,13123.068942,9299.167331,2128.804869,1586.573893,107.59721,0.0,370.074832,12752.99411,462832,7808.0,8,27,True,6
IRPP-TD,27,9,256,2026351006,normal,52.123094,0.0,52.123094,41.906643,1.453508,8.552212,0.0,0.0,3.760807,48.362287,321786,1568.0,6,27,True,6
BSIF,27,9,256,2026351006,normal,6725.378819,0.0,6725.378819,4784.706801,1409.119002,531.461072,0.0,0.0,0.080462,6725.298357,419752,7324.0,1,27,True,6
PRTD,27,9,256,2026351007,normal,13180.434887,0.0,13180.434887,9331.326933,2141.692034,1598.99577,107.462322,0.0,373.184507,12807.25038,462832,7808.0,8,27,True,7
IRPP-TD,27,9,256,2026351007,normal,52.113254,0.0,52.113254,42.009019,1.470116,8.4356,0.0,0.0,3.697356,48.415898,321786,1568.0,6,27,True,7
BSIF,27,9,256,2026351007,normal,6527.162104,0.0,6527.162104,4789.089296,1363.803535,374.185589,0.0,0.0,0.079668,6527.082436,357800,7324.0,1,19,True,7
RPPS-TDC,27,9,256,2026351007,normal,6985.985003,0.0,6985.985003,4796.312786,205.792847,1843.170056,140.296212,0.0,1261.538213,5724.44679,415148,6912.0,8,22,True,7
IRPP-TD,27,9,256,2026351008,normal,52.987401,0.0,52.987401,43.007401,1.52827,8.238014,0.0,0.0,3.495975,49.491426,321786,1568.0,6,27,True,8
BSIF,27,9,256,2026351008,normal,6553.811832,0.0,6553.811832,4803.479805,1372.589973,377.657696,0.0,0.0,0.078937,6553.732895,357800,7324.0,1,19,True,8
RPPS-TDC,27,9,256,2026351008,normal,7035.947877,0.0,7035.947877,4843.952524,205.030811,1846.786881,139.769632,0.0,1265.595358,5770.352519,415148,6912.0,8,22,True,8
PRTD,27,9,256,2026351008,normal,13279.381773,0.0,13279.381773,9409.197391,2156.86177,1604.663446,107.707447,0.0,374.406266,12904.975507,462832,7808.0,8,27,True,8
BSIF,27,9,256,2026351009,normal,6543.382675,0.0,6543.382675,4795.298455,1372.69206,375.308824,0.0,0.0,0.082742,6543.299933,357800,7324.0,1,19,True,9
RPPS-TDC,27,9,256,2026351009,normal,7001.789776,0.0,7001.789776,4806.802867,207.022308,1846.299702,141.224668,0.0,1262.889713,5738.900062999999,415148,6912.0,8,22,True,9
PRTD,27,9,256,2026351009,normal,13240.122573,0.0,13240.122573,9377.178546,2149.26164,1604.93457,107.822186,0.0,374.386213,12865.73636,462832,7808.0,8,27,True,9
IRPP-TD,27,9,256,2026351009,normal,52.227173,0.0,52.227173,42.215037,1.4873,8.328635,0.0,0.0,3.691961,48.535212,321786,1568.0,6,27,True,9
RPPS-TDC,27,9,256,2026351010,normal,6977.587675,0.0,6977.587675,4795.260998,204.496981,1837.362766,140.098257,0.0,1257.935137,5719.652538,415148,6912.0,8,22,True,10
PRTD,27,9,256,2026351010,normal,13190.260683,0.0,13190.260683,9341.212359,2140.033984,1600.414423,107.649472,0.0,373.601508,12816.659175,462832,7808.0,8,27,True,10
IRPP-TD,27,9,256,2026351010,normal,52.030004,0.0,52.030004,42.124802,1.502815,8.204205,0.0,0.0,3.661034,48.36897,321786,1568.0,6,27,True,10
BSIF,27,9,256,2026351010,normal,6592.598823,0.0,6592.598823,4818.126525,1381.434947,392.923373,0.0,0.0,0.081881,6592.516942,357800,7324.0,1,19,True,10
PRTD,27,9,256,2026351011,normal,13326.025125,0.0,13326.025125,9449.017495,2164.204359,1603.106721,108.674509,0.0,372.70888,12953.316245,462832,7808.0,8,27,True,11
IRPP-TD,27,9,256,2026351011,normal,52.617877,0.0,52.617877,41.981344,1.474079,8.956884,0.0,0.0,3.681873,48.936004,321786,1568.0,6,27,True,11
BSIF,27,9,256,2026351011,normal,6630.904201,0.0,6630.904201,4841.686143,1391.364383,397.740565,0.0,0.0,0.093241,6630.810960000001,357800,7324.0,1,19,True,11
RPPS-TDC,27,9,256,2026351011,normal,7065.865767,0.0,7065.865767,4874.211409,207.448173,1842.511699,141.151374,0.0,1258.043417,5807.82235,415148,6912.0,8,22,True,11
IRPP-TD,27,9,256,2026351012,normal,53.669058,0.0,53.669058,43.235935,1.519055,8.702543,0.0,0.0,3.733904,49.935154,321786,1568.0,6,27,True,12
BSIF,27,9,256,2026351012,normal,6592.755354,0.0,6592.755354,4836.777746,1378.801572,377.087202,0.0,0.0,0.085692,6592.669662,357800,7324.0,1,19,True,12
RPPS-TDC,27,9,256,2026351012,normal,6999.710238,0.0,6999.710238,4814.773296,205.123388,1838.987968,140.41331,0.0,1258.962948,5740.747289999999,415148,6912.0,8,22,True,12
PRTD,27,9,256,2026351012,normal,13160.122455,0.0,13160.122455,9327.110979,2132.623527,1592.587626,106.905592,0.0,371.748117,12788.374338000001,462832,7808.0,8,27,True,12
BSIF,27,9,256,2026351013,normal,6470.138013,0.0,6470.138013,4749.161756,1349.530837,371.373001,0.0,0.0,0.07736,6470.060653,357800,7324.0,1,19,True,13
