protocol,n,run,audit_mode,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,block_start,block_end,valid,contract_address
IRPP-TD,27,0,normal,15762.439070,31,501.463349,580.600246,8959,841755,109,140,true,0x80b0e13636ac58fde68f3fce192bbd39bdf5b673
BSIF,27,0,normal,29161.854106,57,501.907967,628.821081,210012,32308590,140,197,true,0x247d2809cd54267a00af94bb0528317845e5a4fe
RPPS-TDC,27,0,normal,29782.285797,59,501.631839,538.981627,199230,30554694,197,256,true,0x412d17a4b6a79953bc891106b420bcd4493cd1cd
IRPP-TD,27,0,proactive,18370.672041,36,501.874402,549.233117,10724,1020482,256,292,true,0x80b0e13636ac58fde68f3fce192bbd39bdf5b673
IRPP-TD,27,0,challenged,18688.037740,37,501.571692,538.260371,11012,1024871,292,329,true,0x80b0e13636ac58fde68f3fce192bbd39bdf5b673
IRPP-TD,27,0,delayed,18678.594828,37,502.013791,538.476825,11012,1024871,329,366,true,0x80b0e13636ac58fde68f3fce192bbd39bdf5b673
