scenario,nrmse,nrmse_ci_low,nrmse_ci_high,angular_available_rate,retained_rate
context-partitioned,0.00883234358908321,0.006106878232418267,0.011873842536402003,1.0,0.999575
single-regime,0.006219446903633882,0.0034025951517356124,0.009213345532129756,1.0,0.99995
unpartitioned-two-regime,0.16063620925407665,0.1441182743123396,0.16668338454152795,1.0,0.992875
