budget,target_workers,score_spearman,retained_jaccard,label_agreement
cap-20,27,0.8911922227940556,0.8555966979226269,0.7952332744650273
cap-20,39,0.9107497913981818,0.9241546639359999,0.8361204467780977
cap-3,27,0.8362137271917404,0.66921108228079,0.6973607167351886
cap-3,39,0.847976110849729,0.6825929514162425,0.6915908412054854
cap-4,27,0.8678389516532006,0.8334298075353949,0.7564851576068466
cap-4,39,0.8769173092915717,0.8883537328844551,0.7630767879750348
cap-5,27,0.8833333448585508,0.8505155118553761,0.7830243670867824
cap-5,39,0.8936567967361518,0.9124902811821723,0.8016964917033503
cap-6,27,0.8893522389449668,0.8546515647492651,0.7925706321461995
cap-6,39,0.9045540474988276,0.9201158288110911,0.8246688101173459
cap-7,27,0.8913295866182536,0.8553341760657504,0.7955362692097677
cap-7,39,0.9095274716438114,0.9238746123441847,0.8342038357728531
