scenario,trial,nrmse,angular_available,retained_rate
single-regime,39,0.008288515093905694,1.0,1.0
unpartitioned-two-regime,39,0.14336705928655383,1.0,0.975
context-partitioned,39,0.009722738397942902,1.0,1.0
single-regime,40,0.005350955801177858,1.0,1.0
unpartitioned-two-regime,40,0.16636097934094485,1.0,1.0
context-partitioned,40,0.008417199303956456,1.0,1.0
single-regime,41,0.006794915103472324,1.0,1.0
unpartitioned-two-regime,41,0.16621708325867252,1.0,1.0
context-partitioned,41,0.009277845614470034,1.0,1.0
single-regime,42,0.00732182536075108,1.0,0.975
unpartitioned-two-regime,42,0.16649805001261794,1.0,1.0
context-partitioned,42,0.00985815850273905,1.0,1.0
single-regime,43,0.00837052332857446,1.0,1.0
unpartitioned-two-regime,43,0.16327983216687242,1.0,1.0
context-partitioned,43,0.008036717762353908,1.0,1.0
single-regime,44,0.005825570016323292,1.0,1.0
unpartitioned-two-regime,44,0.16568007603109672,1.0,1.0
context-partitioned,44,0.011353485750633777,1.0,1.0
single-regime,45,0.004640044683040828,1.0,1.0
unpartitioned-two-regime,45,0.16615758675705564,1.0,1.0
context-partitioned,45,0.011334855271599994,1.0,1.0
single-regime,46,0.009637480535148577,1.0,1.0
unpartitioned-two-regime,46,0.1664386111844818,1.0,1.0
context-partitioned,46,0.00862303754835942,1.0,1.0
single-regime,47,0.009033243181733094,1.0,1.0
unpartitioned-two-regime,47,0.1666023117270411,1.0,1.0
context-partitioned,47,0.005124760479996451,1.0,1.0
single-regime,48,0.006475377877089542,1.0,1.0
unpartitioned-two-regime,48,0.1631844775688713,1.0,1.0
context-partitioned,48,0.006915394137175367,1.0,0.975
single-regime,49,0.0076019594884139076,1.0,1.0
unpartitioned-two-regime,49,0.15091500396597596,1.0,0.975
context-partitioned,49,0.00960088857661106,1.0,1.0
single-regime,50,0.008716652895851206,1.0,1.0
unpartitioned-two-regime,50,0.14761337681940803,1.0,0.975
context-partitioned,50,0.007515767745005382,1.0,1.0
single-regime,51,0.007461940437483585,1.0,1.0
unpartitioned-two-regime,51,0.16567096130595213,1.0,1.0
context-partitioned,51,0.007145197270092669,1.0,1.0
single-regime,52,0.0037554285266441557,1.0,1.0
unpartitioned-two-regime,52,0.1651440548514505,1.0,1.0
context-partitioned,52,0.00742530521813233,1.0,1.0
single-regime,53,0.006466364095980018,1.0,1.0
unpartitioned-two-regime,53,0.16583006166331865,1.0,1.0
context-partitioned,53,0.006305009275577776,1.0,1.0
single-regime,54,0.008028166085672302,1.0,1.0
unpartitioned-two-regime,54,0.16604775952044787,1.0,1.0
context-partitioned,54,0.007598578570720006,1.0,1.0
single-regime,55,0.0032857075491811304,1.0,1.0
unpartitioned-two-regime,55,0.1647037776410153,1.0,1.0
context-partitioned,55,0.00874725538771454,1.0,1.0
single-regime,56,0.005274325965366956,1.0,1.0
unpartitioned-two-regime,56,0.16385746282180566,1.0,1.0
context-partitioned,56,0.010429401534630088,1.0,1.0
single-regime,57,0.006975208050552132,1.0,1.0
unpartitioned-two-regime,57,0.16492804439704548,1.0,1.0
context-partitioned,57,0.007589733771976891,1.0,1.0
single-regime,58,0.0058012030072336915,1.0,1.0
unpartitioned-two-regime,58,0.1658931426671104,1.0,1.0
context-partitioned,58,0.00867198857941898,1.0,1.0
single-regime,59,0.006438247310911113,1.0,1.0
unpartitioned-two-regime,59,0.16415967872478723,1.0,1.0
context-partitioned,59,0.006828731583581504,1.0,1.0
single-regime,60,0.00680953808771215,1.0,1.0
unpartitioned-two-regime,60,0.1654601893238178,1.0,1.0
context-partitioned,60,0.008067866177780166,1.0,1.0
single-regime,61,0.005070488141845954,1.0,1.0
unpartitioned-two-regime,61,0.16368853247878254,1.0,1.0
context-partitioned,61,0.008626272708267197,1.0,1.0
single-regime,62,0.007214386792128179,1.0,1.0
unpartitioned-two-regime,62,0.16430437736208978,1.0,1.0
context-partitioned,62,0.010120516599621762,1.0,1.0
single-regime,63,0.005125360444384867,1.0,1.0
unpartitioned-two-regime,63,0.14874618530814848,1.0,0.975
