method,geometry,tau,trial,success,finite,expected_fallback,declared_fallback,angular_available,low_count,retained_count,iterations,converged,max_raw_weight,normalization_error
Full,full-rank,0.001,26,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,26,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,27,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,27,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,28,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,28,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,29,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,29,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,30,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,30,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,31,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,31,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,32,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,32,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,33,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,33,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,34,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,34,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,35,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,35,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,36,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,36,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,37,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Unprotected,full-rank,0.001,37,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,38,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,38,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,39,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,39,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,40,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,40,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Full,full-rank,0.001,41,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,41,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,42,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,42,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,43,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,43,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,44,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,44,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,45,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Unprotected,full-rank,0.001,45,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,0.001,46,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,46,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,0.001,47,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,0.001,47,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,48,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,0.001,48,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,0.001,49,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,0.001,49,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,0,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,0,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,1,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,1,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-06,2,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,2,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,3,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-06,3,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,4,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,4,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-06,5,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Unprotected,full-rank,1e-06,5,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-06,6,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-06,6,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
