method,n,baseline_rss,peak_rss,incremental_peak_rss,runtime_s,estimated_peak_bytes
RABOD,20,78331904,78430208,98304,0.0017354,800
Full IRPP,20,78561280,78643200,81920,0.0018008000000000002,800
Exact ABOD,20,78585856,78667776,81920,0.0009753,4760
RABOD,100,78426112,78508032,81920,0.005220600000000001,2600
Full IRPP,100,78446592,78548992,102400,0.0054736,2600
Exact ABOD,100,78696448,79683584,987136,0.0094526,102200
RABOD,400,78471168,79015936,544768,0.0213191,9200
Full IRPP,400,78462976,79048704,585728,0.023625100000000003,9200
Exact ABOD,400,78528512,87273472,8744960,0.9582116,1584800
