epsilon,max_iterations,scene_macro_gap,scene_macro_gap_p95,max_gap,cap_hit_rate,iterations_mean,iterations_p95
1e-12,2,3.327379286015564e-05,8.23595159767162e-05,0.0003108942658391,0.9996527777777778,1.9996527777777777,2.0
1e-12,3,1.2703160138564163e-05,3.458523826854251e-05,0.0001453758642232,0.9996527777777778,2.9993055555555554,3.0
1e-12,5,2.122634481362066e-06,7.048752590005948e-06,3.78891726898486e-05,0.9996527777777778,4.998611111111111,5.0
1e-12,10,4.4453943314745466e-08,1.657884638281626e-07,4.7480784285586974e-06,0.96125,9.915347222222222,10.0
1e-12,50,3.8747536487447727e-16,0.0,5.579645254192473e-12,6.944444444444444e-05,19.480208333333334,25.666666666666668
1e-09,2,3.327379286015564e-05,8.23595159767162e-05,0.0003108942658391,0.9996527777777778,1.9996527777777777,2.0
1e-09,3,1.2703160138564163e-05,3.458523826854251e-05,0.0001453758642232,0.9996527777777778,2.9993055555555554,3.0
1e-09,5,2.122634481362066e-06,7.048752590005948e-06,3.78891726898486e-05,0.9892361111111111,4.998611111111111,5.0
1e-09,10,4.4461455622078407e-08,1.657884638281626e-07,4.7480784285586974e-06,0.833125,9.767777777777779,10.0
1e-09,50,3.617452031800766e-10,6.788853725796105e-10,2.201848939050174e-09,0.0,12.764305555555557,17.0
1e-07,2,3.327379286015564e-05,8.23595159767162e-05,0.0003108942658391,0.9996527777777778,1.9996527777777777,2.0
1e-07,3,1.2703160138564163e-05,3.458523826854251e-05,0.0001453758642232,0.9996527777777778,2.9993055555555554,3.0
1e-07,5,2.122691725661806e-06,7.048752590005948e-06,3.78891726898486e-05,0.9402777777777778,4.976736111111111,5.0
1e-07,10,6.327591514989395e-08,1.7603363861460196e-07,4.7480784285586974e-06,0.111875,8.11138888888889,10.0
1e-07,50,3.6112678586692306e-08,6.790665496243674e-08,2.3566332808002694e-07,0.0,8.296180555555557,11.0
1e-05,2,3.3285184468872636e-05,8.23595159767162e-05,0.0003108942658391,0.9413888888888889,1.9924305555555557,2.0
1e-05,3,1.2820333597672452e-05,3.458523826854251e-05,0.0001453758642232,0.6863194444444445,2.933819444444444,3.0
1e-05,5,3.72291756916656e-06,7.95603147882475e-06,3.78891726898486e-05,0.03861111111111112,3.8878472222222222,5.0
1e-05,10,3.3900597992871407e-06,6.389847270162699e-06,2.513443493876662e-05,0.0,3.9322222222222223,5.333333333333333
1e-05,50,3.3900597992871407e-06,6.389847270162699e-06,2.513443493876662e-05,0.0,3.9322222222222223,5.333333333333333
0.001,2,9.083999713929381e-05,0.000215169965597185,0.0006398528066266,0.00020833333333333335,1.0411805555555556,1.3333333333333333
0.001,3,9.082922937612602e-05,0.000215169965597185,0.0006398528066266,0.0,1.041388888888889,1.3333333333333333
0.001,5,9.082922937612602e-05,0.000215169965597185,0.0006398528066266,0.0,1.041388888888889,1.3333333333333333
0.001,10,9.082922937612602e-05,0.000215169965597185,0.0006398528066266,0.0,1.041388888888889,1.3333333333333333
0.001,50,9.082922937612602e-05,0.000215169965597185,0.0006398528066266,0.0,1.041388888888889,1.3333333333333333
