method,n,censored,runtime_median_s,runtime_p95_s,repeat_count,pair_evaluations,effective_budget,estimated_peak_bytes,reports_per_second,tasks_per_second
RABOD,20,False,0.0009418,0.000961985,530,200,5,800,21235.931195582925,1061.7965597791463
Full IRPP,20,False,0.001124,0.00114886,443,200,5,800,17793.59430604982,889.6797153024911
Exact ABOD,20,False,0.0005925,0.000601105,840,1638,20,4760,33755.27426160337,1687.7637130801686
RABOD,100,False,0.0045253,0.00460815,111,4500,10,2600,22097.98245420193,220.9798245420193
Full IRPP,100,False,0.0047053,0.00475728,107,4500,10,2600,21252.630012964106,212.52630012964104
Exact ABOD,100,False,0.0085048,0.008541100000000001,59,236670,100,102200,11758.066033298843,117.58066033298843
RABOD,400,False,0.02009735,0.020331265,30,76000,20,9200,19903.121555827012,49.75780388956753
Full IRPP,400,False,0.0201632,0.022145294999999992,30,76000,20,9200,19838.120933185208,49.59530233296302
Exact ABOD,400,False,0.97077705,0.98712558,30,15545880,400,1584800,412.04105515267383,1.0301026378816844
