protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
RPPS-TDC,0,0,setup,register_worker,16,502.620771,88,7485,3082,0,0xca88ec8ae5f537ba0a4abe594d8a7a276d5dbab0316589272346fe0614f28044
BSIF,0,0,setup,register_worker,17,501.195527,88,7485,3083,0,0x060d3e8f66bfa18bbd6e88e64186b5555488a95b54c5ad87ac1482f920cd8074
RPPS-TDC,0,0,setup,register_worker,17,501.478810,88,7485,3084,0,0x8a08e4c1519e0f7952162e08b4d97d4ae9381a508d8637c8320833961275a0bc
BSIF,0,0,setup,register_worker,18,500.184144,88,7485,3085,0,0x10695bb077aaa22f56a5a88391ad94c8558c33d64daed07849e5cce3a9195637
RPPS-TDC,0,0,setup,register_worker,18,506.878578,88,7485,3086,0,0x8bccd2863997fb2fe3bcb64880cc3cd44090f542e1e135acc8cc3b5b468a5f08
BSIF,0,0,setup,register_worker,19,498.468985,88,7485,3087,0,0x0c97bf865b85e6f74aad7a15cefb75800e3e7b849833330c2bef5511a7dc095e
RPPS-TDC,0,0,setup,register_worker,19,501.045094,88,7485,3088,0,0xdede7f2c4bb4ed97ff73ec4d8f5b118eb91e3ec47a253d9e8b51cd3fd3303ac0
BSIF,0,0,setup,register_worker,20,499.867038,88,7485,3089,0,0x2504f7aabbc68b3accbce727d9b3505a864f6c40c06e87a4f2adba5292bf03ac
RPPS-TDC,0,0,setup,register_worker,20,537.869290,88,7485,3090,0,0x46bc321ec44bb9e245dfa73454280dd61dc387ea644f7c63d26a0f74e1d1024a
BSIF,0,0,setup,register_worker,21,467.865413,88,7485,3091,0,0xae9649572762492c67c9cc4720601911649c1ab259f15edc4ba889dbd6207d8d
RPPS-TDC,0,0,setup,register_worker,21,501.975390,88,7485,3092,0,0xf4e5c8b6e950189409b6b63ec165ae8e84651dee0aa1376ea10ee1b1cc6164d0
BSIF,0,0,setup,register_worker,22,504.686321,88,7485,3093,0,0x8161c6288701490d5605d9e04bee6cdae86a2a4273d6f1a6a5fac8448d40e528
RPPS-TDC,0,0,setup,register_worker,22,499.553783,88,7485,3094,0,0x2d5a3a07f6a95f6b0ba682a2267b5480c00aaf9fadc46d1e2c6f70b5bdb8c518
BSIF,0,0,setup,register_worker,23,501.349677,88,7485,3095,0,0x67c4451933ff5925ca760cc9d1e89066b4a7faade8bf61b89180077f19e2c0ad
RPPS-TDC,0,0,setup,register_worker,23,501.281999,88,7485,3096,0,0xc07307dc09eb216c7acfb30847b78c72a8075f7786d742d53dde925724ad1f83
BSIF,0,0,setup,register_worker,24,499.636868,88,7485,3097,0,0xaf7081ff74aae6f3966889d6ee8cf3e082342dbb6ee6b01b8a456aa2425c57a1
RPPS-TDC,0,0,setup,register_worker,24,501.028737,88,7485,3098,0,0x8801e0d34ce4ff0be189156b331cdf3a012279c74d5de37b60f0968b84ede21f
BSIF,0,0,setup,register_worker,25,502.183828,88,7485,3099,0,0xa8efe27154bf205b64fee1ce45af63a0c4897bd28b2e32e599fd5fa245945edb
RPPS-TDC,0,0,setup,register_worker,25,516.404119,88,7485,3100,0,0x7dbb53e1b934f675746703a46ba7cce1007893d736659edde0427ddf4f804e44
BSIF,0,0,setup,register_worker,26,489.676927,88,7485,3101,0,0x33e63b53f3aaf236040ab53bf1c98fc448d51a7b4297b2d81eb668b56e3ab137
RPPS-TDC,0,0,setup,register_worker,26,544.802119,88,7485,3102,0,0x2bf575338bc69228c6b7aa0d48a70ac6f9b04dcbc04060820fa83aacfb2fae30
