protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,e2e_active_ms,e2e_final_ms,total_traffic_task_bytes
PRTD,10,9,256,2026181005,normal,6161.543835,0.0,6161.543835,3540.024823,1731.147854,848.875433,40.559787,0.0,381.965712,5779.578123,206540,7808.0,8,10,True,5,,,,,,,6161.543835,6161.543835,206540.0
IRPP-TD,10,9,256,2026181005,normal,12.477501,0.0,12.477501,7.908145,0.600051,3.859173,0.0,0.0,1.892039,10.585462,86220,1568.0,6,10,True,5,6995.425535,14.0,501.105931,518.500862,4046.0,363893.0,7007.903036000001,7507.903036000001,90266.0
RPPS-TDC,10,9,256,2026181006,normal,2793.610809,0.0,2793.610809,1822.584924,192.707646,724.982835,53.043795,0.0,475.266084,2318.344725,158184,6912.0,8,8,True,6,12565.22428,25.0,501.602103,513.023372,74739.0,11399128.0,15358.835089,15358.835089,232923.0
PRTD,10,9,256,2026181006,normal,6103.628262,0.0,6103.628262,3506.605717,1716.440765,839.527378,40.079948,0.0,377.278917,5726.3493450000005,206540,7808.0,8,10,True,6,,,,,,,6103.628262,6103.628262,206540.0
IRPP-TD,10,9,256,2026181006,normal,11.910664,0.0,11.910664,7.525893,0.555555,3.733408,0.0,0.0,1.942215,9.968449,86220,1568.0,6,10,True,6,7322.990958,14.0,503.373121,628.432424,4046.0,363893.0,7334.901622,7834.901622,90266.0
BSIF,10,9,256,2026181006,normal,2446.041329,0.0,2446.041329,1795.11822,511.039521,139.801154,0.0,0.0,0.081257,2445.9600720000003,132272,7324.0,1,7,True,6,11761.198559,23.0,502.449387,565.204804,78449.0,12032928.0,14207.239888,14207.239888,210721.0
PRTD,10,9,256,2026181007,normal,6087.024706,0.0,6087.024706,3495.989279,1713.523321,836.471088,40.109846,0.0,376.21101,5710.813696,206540,7808.0,8,10,True,7,,,,,,,6087.024706,6087.024706,206540.0
IRPP-TD,10,9,256,2026181007,normal,11.914508,0.0,11.914508,7.392851,0.548322,3.809667,0.0,0.0,1.992074,9.922434,86220,1568.0,7,10,True,7,7031.589352,14.0,501.06982,514.222061,4046.0,363893.0,7043.50386,7543.50386,90266.0
BSIF,10,9,256,2026181007,normal,2448.098254,0.0,2448.098254,1794.271505,513.853495,139.896634,0.0,0.0,0.082054,2448.0162,132272,7324.0,1,7,True,7,11751.190218,23.0,501.952057,539.160516,78449.0,12032928.0,14199.288472,14199.288472,210721.0
RPPS-TDC,10,9,256,2026181007,normal,2761.535163,0.0,2761.535163,1798.178007,191.164657,719.274568,52.601973,0.0,472.238944,2289.296219,158184,6912.0,8,8,True,7,12689.077073,25.0,502.216693,544.490398,74739.0,11399128.0,15450.612236,15450.612236,232923.0
