protocol,n,run,audit_mode,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,block_start,block_end,valid,contract_address
IRPP-TD,27,0,normal,15770.310381,31,501.207017,538.919835,8959,841755,2777,2808,true,0x5160a734e4451ee80deab3d53d1328d92d47764c
BSIF,27,0,normal,28890.037804,57,501.569007,541.364763,210012,32308590,2808,2865,true,0x645682aaaadb52c36803412e162b358045a709b9
RPPS-TDC,27,0,normal,29731.043974,59,501.448303,535.187119,199230,30554694,2865,2924,true,0x24a7e34fc773bf9cadfe564636febca5a8b5156d
IRPP-TD,27,0,proactive,18287.687068,36,501.632570,537.814602,10724,1068847,2924,2960,true,0x5160a734e4451ee80deab3d53d1328d92d47764c
IRPP-TD,27,0,challenged,18690.494351,37,501.633339,531.649479,11012,1073258,2960,2997,true,0x5160a734e4451ee80deab3d53d1328d92d47764c
IRPP-TD,27,0,delayed,18639.354406,37,501.434635,539.894769,11012,1073258,2997,3034,true,0x5160a734e4451ee80deab3d53d1328d92d47764c
